Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,132,,3.0,,1.0,,67.0,,,,56.0,,,5.0,
no_bokmaal-ud-test,1939,0,135,,1.0,5.0,,,54.0,1.0,1.0,,70.0,,,2.0,1.0
no_bokmaal-ud-train,15696,0,1042,3.0,14.0,44.0,3.0,4.0,467.0,1.0,,,479.0,,,26.0,1.0
no_nynorsk-ud-train,14174,0,2,,,,,,2.0,,,,,,,,
it_old-ud-train,1748,0,4,,,,,,,,,,4.0,,,,
it_old-ud-test,338,0,1,,,,,,,,,,1.0,,,,
it_valico-ud-test,398,0,1,,,,,,,,,,1.0,,,,
it_isdt-ud-test,482,0,6,,,,,,2.0,,,,4.0,,,,
it_isdt-ud-train,13121,0,86,1.0,,,,,50.0,,1.0,,34.0,,,,
it_isdt-ud-dev,564,0,7,,,,,,3.0,,,,4.0,,,,
de_lit-ud-test,1920,0,1,,,,,,,,,,1.0,,,,
da_ddt-ud-train,4383,0,305,,4.0,13.0,,,178.0,,8.0,1.0,97.0,1.0,,3.0,
da_ddt-ud-test,565,0,48,,1.0,4.0,,,25.0,,,,18.0,,,,
da_ddt-ud-dev,564,0,41,,1.0,2.0,,,19.0,,1.0,,18.0,,,,
it_partut-ud-dev,156,0,1,,,,,,,,,,1.0,,,,
it_partut-ud-test,153,0,2,,,,,,,,,,2.0,,,,
it_partut-ud-train,1781,0,20,1.0,,,,,13.0,,,,6.0,,,,
it_twittiro-ud-test,142,0,2,,,,,,,,,,2.0,,,,
it_twittiro-ud-train,1138,0,7,,1.0,,,,2.0,,,,4.0,,,,
it_markit-ud-test,340,0,5,,,,,,4.0,,,,1.0,,,,
it_markit-ud-train,611,0,8,,,,,,4.0,,,,4.0,,,,
it_markit-ud-dev,341,0,3,,,,,,1.0,,,,2.0,,,,
it_postwita-ud-train,5368,0,21,1.0,1.0,1.0,,,5.0,,,,13.0,,,,
it_postwita-ud-dev,670,0,4,,,,,,2.0,,,,1.0,,1.0,,
it_postwita-ud-test,674,0,1,,,,,,,,,,1.0,,,,
it_vit-ud-train,8277,0,89,1.0,,,,,41.0,,6.0,,40.0,,,1.0,
it_vit-ud-test,1067,0,9,,,,,,6.0,,,,2.0,,,1.0,
it_vit-ud-dev,743,0,19,,,,,,11.0,,,,8.0,,,,
it_parlamint-ud-test,375,0,1,,,,,,,,,,1.0,,,,
it_parlamint-ud-train,326,0,2,,,,,,2.0,,,,,,,,
