Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,discourse,dislocated,flat,iobj,nmod,nsubj,nummod,obj,obl,parataxis,reparandum,root,xcomp
tr_pud-ud-test,1000,0,38,,7.0,,1.0,,,,,,,,16.0,1.0,,,7.0,,,3.0,3.0
tr_atis-ud-train,4274,0,4,,,,,,,,,,,,,,,,3.0,,,1.0,
tr_kenet-ud-dev,1646,0,69,2.0,16.0,2.0,,1.0,,,,,,,7.0,,,,38.0,1.0,,2.0,
tr_kenet-ud-test,1643,0,91,8.0,27.0,4.0,,2.0,,,,,,,3.0,,,,42.0,,,4.0,1.0
tr_kenet-ud-train,15398,0,660,19.0,140.0,28.0,,14.0,2.0,1.0,,,2.0,1.0,135.0,2.0,1.0,9.0,276.0,4.0,1.0,20.0,5.0
tr_framenet-ud-test,205,0,4,,,,,,,,,,,,2.0,,,,1.0,,,1.0,
tr_framenet-ud-train,2288,0,47,,11.0,1.0,,1.0,3.0,1.0,,,,,9.0,,,,6.0,,,15.0,
tr_framenet-ud-dev,205,0,9,,4.0,,,,,,,,,,1.0,,,,1.0,,,3.0,
tr_gb-ud-test,2880,0,27,,11.0,,,2.0,,,,,,,4.0,,,,5.0,,,3.0,2.0
ota_boun-ud-train,114,0,5,,2.0,,,,,,,,,,1.0,,,,2.0,,,,
ota_boun-ud-test,400,0,30,,6.0,1.0,,1.0,1.0,,,,,,,,,,20.0,,,1.0,
ota_dudu-ud-test,85,0,1,,,,,,,,,,,,1.0,,,,,,,,
qtd_sagt-ud-test,805,0,13,,,,,,,,,,,,1.0,,,,3.0,5.0,,3.0,1.0
qtd_sagt-ud-dev,801,0,23,1.0,2.0,,,,1.0,,,,,,4.0,,,,4.0,4.0,,6.0,1.0
qtd_sagt-ud-train,578,0,12,,1.0,,,,,,,,,,4.0,1.0,,,1.0,3.0,,2.0,
tr_tourism-ud-train,15473,0,43,5.0,3.0,3.0,,,,,1.0,,,,10.0,1.0,,,8.0,,,12.0,
tr_tourism-ud-dev,2166,0,5,,2.0,,,,,,,,,,1.0,,,,,,,2.0,
tr_tourism-ud-test,2191,0,4,,2.0,,,1.0,,,,,,,,,,,1.0,,,,
tr_imst-ud-train,3435,0,121,22.0,14.0,18.0,1.0,,,1.0,1.0,,,,20.0,1.0,,,26.0,,,17.0,
tr_imst-ud-dev,1100,0,32,3.0,5.0,3.0,,,,,,,,,4.0,,,,9.0,,,8.0,
tr_imst-ud-test,1100,0,35,5.0,4.0,5.0,,,,,,,,,5.0,,,1.0,8.0,1.0,,6.0,
tr_boun-ud-dev,979,0,36,2.0,14.0,1.0,,,,,,,,,6.0,,,,11.0,,,2.0,
tr_boun-ud-test,979,0,32,2.0,8.0,1.0,,,,,,1.0,,,4.0,,,,11.0,,,5.0,
tr_boun-ud-train,7803,0,255,21.0,64.0,19.0,2.0,1.0,1.0,,,1.0,2.0,,32.0,,1.0,4.0,88.0,1.0,,18.0,
tr_penn-ud-dev,622,0,13,,7.0,1.0,,,,,,,1.0,,3.0,,,,,,,1.0,
tr_penn-ud-test,924,0,11,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,3.0,,,2.0,
tr_penn-ud-train,14850,0,218,2.0,50.0,21.0,1.0,11.0,,,,,7.0,,61.0,,3.0,2.0,46.0,2.0,,12.0,
