Treebank,Number of Sentences,Failures,Total,iobj,nmod,obl,xcomp
it_old-ud-train,1748,0,2,1.0,,1.0,
it_old-ud-dev,316,0,1,,,1.0,
it_valico-ud-test,398,0,1,,,1.0,
it_isdt-ud-train,13121,0,9,,1.0,8.0,
it_isdt-ud-dev,564,0,2,,,2.0,
it_twittiro-ud-test,142,0,1,,,,1.0
it_twittiro-ud-dev,144,0,1,,1.0,,
it_markit-ud-train,611,0,2,,1.0,1.0,
it_postwita-ud-train,5368,0,8,,,8.0,
it_postwita-ud-dev,670,0,1,,1.0,,
it_postwita-ud-test,674,0,2,,,2.0,
it_vit-ud-train,8277,0,16,,1.0,15.0,
it_vit-ud-test,1067,0,3,,,3.0,
