Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,parataxis,root,vocative,xcomp
wo_wtb-ud-dev,449,0,2,,,,,,,,,,,,,,,2.0,,,,
wo_wtb-ud-test,470,0,2,,,,,,,,,,,,,,,2.0,,,,
ga_twittirish-ud-dev,864,0,383,6.0,10.0,2.0,1.0,7.0,,2.0,,,1.0,15.0,2.0,1.0,,99.0,52.0,56.0,,129.0
ga_twittirish-ud-test,866,0,369,9.0,1.0,,,6.0,,3.0,,,,18.0,1.0,,,80.0,45.0,60.0,,146.0
ga_twittirish-ud-train,866,0,377,14.0,5.0,,1.0,4.0,1.0,1.0,,,,17.0,3.0,,1.0,80.0,35.0,61.0,2.0,152.0
ga_idt-ud-train,4005,0,1431,62.0,41.0,1.0,3.0,32.0,,12.0,4.0,,,66.0,11.0,1.0,3.0,472.0,22.0,98.0,,603.0
ga_idt-ud-test,454,0,179,8.0,8.0,,,2.0,,6.0,,1.0,,9.0,,,,34.0,2.0,12.0,,97.0
ga_idt-ud-dev,451,0,185,6.0,1.0,,,5.0,,,,,,13.0,,,1.0,41.0,6.0,17.0,,95.0
gd_arcosg-ud-train,3541,0,6,,,,,,,,,,,,,,,4.0,,,,2.0
gd_arcosg-ud-dev,655,0,0,,,,,,,,,,,,,,,,,,,
cy_ccg-ud-test,953,0,5,,,,,,,,,,,2.0,,,,3.0,,,,
cy_ccg-ud-dev,409,0,6,,1.0,,,,,,,,,,,,,4.0,,,,1.0
cy_ccg-ud-train,1189,0,17,1.0,1.0,1.0,,,,,,,,1.0,,,,12.0,,,,1.0
ga_cadhan-ud-test,193,0,87,6.0,7.0,,,5.0,,,,,,4.0,1.0,,2.0,11.0,2.0,7.0,,42.0
