Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dep,dislocated,list,nmod,nsubj,nummod,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,,1,,,,
en_partut-ud-train,1781,0,18,,4.0,,,,,,6.0,,,7,,,1.0,
en_partut-ud-test,153,0,2,,,,,,,,,,,2,,,,
ga_twittirish-ud-dev,864,0,3,,,,,,,,1.0,1.0,,1,,,,
en_atis-ud-test,586,0,23,,,1.0,,,,,4.0,,,18,,,,
en_atis-ud-train,4274,0,158,2.0,,8.0,,,,1.0,33.0,,9.0,105,,,,
en_atis-ud-dev,572,0,20,,,,,,,1.0,5.0,,,14,,,,
en_gum-ud-train,9521,0,46,,2.0,,1.0,,,,11.0,,,30,,,2.0,
en_gum-ud-test,1285,0,3,,,,,,,,1.0,,,2,,,,
en_gum-ud-dev,1341,0,4,,,,,,,,2.0,,,2,,,,
en_lines-ud-train,3176,0,24,,4.0,,,,,,6.0,,,14,,,,
en_lines-ud-dev,1032,0,7,,,,,,,,,,,7,,,,
en_lines-ud-test,1035,0,5,,,,,,,,3.0,,,1,,,1.0,
en_ewt-ud-test,2077,0,3,,,,,,,,,,,3,,,,
en_ewt-ud-dev,2001,0,3,,,,,,,,1.0,,,2,,,,
en_ewt-ud-train,12544,0,55,1.0,,,,,,,14.0,,,39,,,1.0,
pcm_nsc-ud-dev,990,0,22,1.0,12.0,,2.0,2.0,,,,,,2,1.0,,2.0,
pcm_nsc-ud-train,7279,0,113,15.0,67.0,2.0,4.0,3.0,1.0,,,1.0,,7,4.0,,8.0,1.0
pcm_nsc-ud-test,972,0,20,3.0,10.0,,,,,,,,,2,,2.0,3.0,
en_pronouns-ud-test,285,0,5,,,,,,,,,,,5,,,,
en_gentle-ud-test,1334,0,3,,1.0,,,,,,1.0,,,1,,,,
en_pud-ud-test,1000,0,6,,,,,,,,1.0,,,5,,,,
