Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,327,,1.0,,2.0,7.0,,,,,,,,,,,,,,,,85.0,,,,223.0,4.0,1.0,,,4.0,
sl_ssj-ud-dev,1250,0,354,,,,2.0,8.0,,,,,,,,,,,,,,,,97.0,,,,236.0,7.0,2.0,,,2.0,
sl_ssj-ud-train,10903,0,2712,,6.0,5.0,7.0,43.0,,,2.0,,,1.0,,,,,,,,,,712.0,,,,1845.0,38.0,17.0,,,34.0,2.0
xav_xdt-ud-test,171,0,31,,1.0,1.0,1.0,,,,1.0,,,,,,4.0,,,,,,,1.0,,,,19.0,,,,,1.0,2.0
pl_pdb-ud-test,2215,0,615,,1.0,,5.0,,,,1.0,,,,,,,,,,,,,113.0,,,2.0,478.0,2.0,3.0,,,8.0,2.0
pl_pdb-ud-train,17722,0,4844,,1.0,8.0,96.0,1.0,,,4.0,,,2.0,,,,,,1.0,3.0,,,987.0,3.0,,1.0,3642.0,13.0,20.0,,,57.0,5.0
pl_pdb-ud-dev,2215,0,587,,1.0,1.0,8.0,,,,,,,,,,,,,,,,,124.0,1.0,,,441.0,1.0,1.0,,,8.0,1.0
hr_set-ud-dev,960,0,324,,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,111.0,,1.0,4.0,189.0,10.0,2.0,,,2.0,
hr_set-ud-train,6914,0,2032,,17.0,5.0,2.0,,,,5.0,,,,,4.0,,,,4.0,,1.0,,573.0,1.0,15.0,15.0,1348.0,5.0,7.0,,,30.0,
hr_set-ud-test,1136,0,315,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,94.0,,,6.0,204.0,3.0,,,,4.0,1.0
qpm_philotis-ud-train,980,0,252,,2.0,,3.0,,,,,,,2.0,,,,,,,,,,16.0,1.0,5.0,2.0,212.0,1.0,1.0,,,6.0,1.0
qpm_philotis-ud-dev,635,0,115,,,,4.0,,,,,,,,1.0,,,,,,49.0,,,24.0,1.0,4.0,2.0,28.0,,,,,2.0,
qpm_philotis-ud-test,635,0,125,,,2.0,,,,,1.0,,,,,,,,,,,,,7.0,,3.0,,111.0,,,,,1.0,
sk_snk-ud-dev,1060,0,152,,,,,,,,,,,,2.0,,,,,,,,,45.0,,1.0,,104.0,,,,,,
sk_snk-ud-test,1061,0,172,,,,,,,,,,,,1.0,,,,,,,,,60.0,,,1.0,110.0,,,,,,
sk_snk-ud-train,8483,0,1363,,,,3.0,3.0,,,,,,,8.0,1.0,,,,,1.0,,,215.0,,3.0,31.0,1086.0,,,,,12.0,
wo_wtb-ud-dev,449,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,236,,2.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,98.0,,1.0,,127.0,,,,,3.0,
sq_tsa-ud-test,60,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
hsb_ufal-ud-test,623,0,123,,1.0,1.0,,11.0,,,,,,,,,,,,,,,,40.0,3.0,,16.0,44.0,4.0,1.0,,,,2.0
hsb_ufal-ud-train,23,0,9,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,5.0,,,,,,
it_valico-ud-test,398,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
sr_set-ud-test,520,0,132,,1.0,,,,,,,,,,,1.0,,,,,,,,40.0,,,,88.0,,,,,2.0,
sr_set-ud-train,3328,0,908,,7.0,1.0,1.0,1.0,,,5.0,,,,,10.0,,,,,,,,241.0,1.0,1.0,2.0,606.0,3.0,7.0,,,22.0,
sr_set-ud-dev,536,0,149,,1.0,,,,,,,,,,,,,,,,,,,40.0,,1.0,,105.0,2.0,,,,,
gv_cadhan-ud-test,1164,0,13,,,,2.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,
gv_cadhan-ud-train,1172,0,11,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,
af_afribooms-ud-train,1315,0,75,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,56.0,,,,,,
af_afribooms-ud-dev,194,0,7,,,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,
af_afribooms-ud-test,425,0,21,,,,,,,,,,,,,,,,,,,,,8.0,,,,13.0,,,,,,
nds_lsdc-ud-test,500,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
cs_cltt-ud-dev,316,0,95,1.0,,,1.0,,,,,,,,,,,,,,,,,55.0,,,,38.0,,,,,,
cs_cltt-ud-train,467,0,113,,,,,1.0,,,,,,,,,,,,,,,,80.0,,,,32.0,,,,,,
cs_cltt-ud-test,338,0,79,,,,,,,,,,,,,,,,,,,,,28.0,,,,51.0,,,,,,
nl_lassysmall-ud-test,1761,0,61,,,,,,,,,,,,,,,,,,,,,4.0,,,,55.0,,,,,2.0,
nl_lassysmall-ud-dev,1542,0,41,,,1.0,,,,,,,,,,,,,,,,,,5.0,,,,33.0,,,,,2.0,
nl_lassysmall-ud-train,13817,0,488,,2.0,21.0,,,,,,,,,,,,,,,,,,49.0,,,1.0,401.0,,2.0,,,11.0,1.0
cs_fictree-ud-dev,1309,0,239,,,2.0,1.0,5.0,,,,,,,1.0,,,,,,,,,34.0,,,,190.0,,,,,5.0,1.0
cs_fictree-ud-train,10160,0,1938,,2.0,4.0,5.0,15.0,,,11.0,1.0,,1.0,34.0,,,,,,,,,238.0,,1.0,,1577.0,,2.0,,,43.0,4.0
cs_fictree-ud-test,1291,0,232,,,,,,,,,,,,5.0,,,,,,,,,31.0,,,,193.0,,,,,2.0,1.0
pcm_nsc-ud-train,7279,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
gd_arcosg-ud-test,545,0,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
gd_arcosg-ud-train,3541,0,42,,20.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,16.0,,,,,,3.0
gd_arcosg-ud-dev,655,0,6,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,
cy_ccg-ud-test,953,0,17,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,7.0,,,,3.0,,,,,1.0,
cy_ccg-ud-dev,409,0,9,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,
cy_ccg-ud-train,1189,0,30,,7.0,6.0,4.0,,,,,,,,,,,,,,,,,8.0,,,,4.0,,,,,,1.0
sl_sst-ud-train,4558,0,718,,2.0,4.0,8.0,13.0,,,2.0,,,1.0,,1.0,,,,,,,,99.0,1.0,,1.0,512.0,18.0,9.0,,3.0,41.0,3.0
sl_sst-ud-test,1041,0,102,,,,1.0,,,,,,,,,,,,,,,,,12.0,,,,81.0,,4.0,,,4.0,
sl_sst-ud-dev,505,0,172,,,,4.0,6.0,,,,,,,,,,,,,,,,11.0,,,,141.0,3.0,1.0,,4.0,2.0,
cs_pdt-ud-test,10146,0,2071,16.0,11.0,2.0,15.0,6.0,3.0,,2.0,,,1.0,41.0,,,4.0,7.0,,,,1.0,601.0,14.0,27.0,2.0,1265.0,,,10.0,,36.0,7.0
cs_pdt-ud-dev,9270,0,1935,12.0,11.0,8.0,16.0,9.0,2.0,2.0,1.0,1.0,1.0,,46.0,,,2.0,4.0,1.0,,,1.0,575.0,8.0,26.0,5.0,1159.0,1.0,,8.0,,33.0,3.0
cs_pdt-ud-train,68491,0,14389,100.0,54.0,35.0,48.0,56.0,4.0,17.0,41.0,7.0,7.0,16.0,266.0,,,8.0,25.0,1.0,1.0,,14.0,4511.0,76.0,139.0,37.0,8576.0,5.0,4.0,45.0,,254.0,42.0
nl_alpino-ud-train,12289,0,248,,3.0,9.0,,1.0,,,,,,,,,,,,,,,,25.0,,1.0,,200.0,,3.0,,,6.0,
nl_alpino-ud-test,596,0,5,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,
nl_alpino-ud-dev,718,0,46,,,,,,,,,,,,,,,,,,,,,2.0,,,,41.0,,1.0,,,,2.0
pl_pud-ud-test,1000,0,257,,,2.0,1.0,,,,,,,,,,,,,,,,,92.0,1.0,,,159.0,,1.0,,,1.0,
cs_cac-ud-dev,603,0,186,,,,,3.0,,,,1.0,,,3.0,,,,,,,,,71.0,,,,105.0,,,,,3.0,
cs_cac-ud-train,23478,0,6141,1.0,20.0,11.0,73.0,31.0,,1.0,12.0,8.0,,4.0,96.0,,,,,,,,,1890.0,7.0,22.0,,3834.0,,,1.0,,113.0,17.0
cs_cac-ud-test,628,0,126,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,28.0,,1.0,,90.0,,,,,2.0,
pl_lfg-ud-test,1727,0,170,,,1.0,,,,,,,,,,,,,,,,,,19.0,,,,147.0,,,,,2.0,1.0
pl_lfg-ud-train,13774,0,1453,,,,,,,,2.0,,,1.0,,,,,,,,,,144.0,,,,1286.0,,,,,12.0,8.0
pl_lfg-ud-dev,1745,0,180,,,,,,,,,,,,,,,,,,,,,16.0,,,,158.0,,,,,1.0,5.0
cs_poetry-ud-test,297,0,58,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,1.0,51.0,,,,,,
