Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,discourse,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
frm_profiterole-ud-test,512,0,100,,43.0,3.0,,1.0,,,,,,,1.0,,,,49.0,,,,1.0,2.0
wo_wtb-ud-dev,449,0,1,,,,,,,,,,,,1.0,,,,,,,,,
fr_pud-ud-test,1000,0,151,1.0,40.0,,,,,,,,,,28.0,,,,67.0,,,,,15.0
fr_fqb-ud-test,2289,0,115,5.0,24.0,,,,,,,,,,23.0,,,,55.0,,,,,8.0
fr_gsd-ud-test,416,0,77,3.0,30.0,1.0,,,,,,,,,15.0,,,,24.0,1.0,,,1.0,2.0
fr_gsd-ud-train,14450,0,2194,72.0,707.0,2.0,1.0,14.0,1.0,,,,,,407.0,,,3.0,913.0,8.0,2.0,,26.0,38.0
fr_gsd-ud-dev,1476,0,207,5.0,80.0,,,,,,,,,,30.0,,,,85.0,3.0,,,1.0,3.0
it_isdt-ud-test,482,0,1,,,,,,,,,,,,1.0,,,,,,,,,
it_isdt-ud-train,13121,0,2,,,,,,,,,,,,2.0,,,,,,,,,
fr_rhapsodie-ud-train,1288,0,99,2.0,33.0,5.0,1.0,3.0,,,,,,,13.0,,,,34.0,,,3.0,5.0,
fr_rhapsodie-ud-dev,1081,0,57,3.0,21.0,,,,,,,,,1.0,6.0,,,,20.0,,,,6.0,
fr_rhapsodie-ud-test,840,0,49,7.0,8.0,,,,,,,,,,5.0,,,,25.0,,,2.0,2.0,
fr_parisstories-ud-dev,692,0,42,3.0,23.0,,,,,,,,,,2.0,,,,10.0,,,3.0,1.0,
fr_parisstories-ud-train,1387,0,116,6.0,47.0,1.0,2.0,1.0,1.0,,2.0,,,,7.0,,,,38.0,,,4.0,3.0,4.0
fr_parisstories-ud-test,697,0,26,,6.0,2.0,,3.0,,,,,,,2.0,,,,10.0,,,1.0,1.0,1.0
qaf_arabizi-ud-train,1003,0,102,2.0,6.0,4.0,,13.0,,,,1.0,,,19.0,5.0,1.0,,30.0,,11.0,,5.0,5.0
qaf_arabizi-ud-test,145,0,15,,2.0,,,1.0,,,,,,,3.0,1.0,,,4.0,,3.0,,1.0,
qaf_arabizi-ud-dev,139,0,14,,1.0,,,5.0,,,,1.0,,,1.0,1.0,,,3.0,,2.0,,,
cs_cac-ud-train,23478,0,1,,,,,,,,,,1.0,,,,,,,,,,,
fr_partut-ud-dev,107,0,7,1.0,1.0,,,,,,,,,,2.0,,,,3.0,,,,,
fr_partut-ud-test,110,0,21,,4.0,1.0,,,,,,,,,1.0,,,,15.0,,,,,
fr_partut-ud-train,803,0,174,10.0,56.0,,,,,,,,,,45.0,,1.0,,60.0,1.0,,,1.0,
fr_sequoia-ud-test,456,0,75,5.0,21.0,,1.0,2.0,,,,,,,16.0,,,,29.0,,,,1.0,
fr_sequoia-ud-train,2231,0,371,11.0,83.0,,,6.0,,1.0,,,,,101.0,,,1.0,157.0,5.0,,,1.0,5.0
fr_sequoia-ud-dev,412,0,70,2.0,17.0,,,1.0,,,,,,,13.0,,,,34.0,,,,2.0,1.0
