Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,nmod,nummod,obl,orphan,parataxis,root
uk_iu-ud-dev,673,0,11,,,,,,,11.0,,,
uk_iu-ud-train,5521,0,103,1.0,2.0,,,9.0,,91.0,,,
uk_iu-ud-test,898,0,12,,,,,1.0,,10.0,1.0,,
kpv_ikdp-ud-test,214,0,1,,,,,,,1.0,,,
ru_taiga-ud-train,16045,0,145,,1.0,,1.0,14.0,,118.0,3.0,2.0,6.0
ru_taiga-ud-test,881,0,6,,,,,1.0,,4.0,,1.0,
ru_syntagrus-ud-train,69630,0,733,,4.0,2.0,2.0,85.0,3.0,614.0,4.0,8.0,11.0
ru_syntagrus-ud-dev,8906,0,86,,1.0,,,13.0,,71.0,,,1.0
ru_syntagrus-ud-test,8800,0,81,,1.0,,,7.0,1.0,70.0,1.0,1.0,
ru_poetry-ud-test,728,0,2,,,,,,,2.0,,,
ru_poetry-ud-dev,789,0,0,,,,,,,,,,
ru_poetry-ud-train,3569,0,6,,,,,1.0,,5.0,,,
ru_pud-ud-test,1000,0,11,,,,,,,10.0,,1.0,
ru_gsd-ud-test,601,0,9,,,,,,,8.0,1.0,,
ru_gsd-ud-dev,579,0,5,,,,,,,5.0,,,
ru_gsd-ud-train,3850,0,50,,,,,9.0,,41.0,,,
