Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,nmod,obj,obl,parataxis,root,xcomp
ro_nonstandard-ud-test,1052,0,8,,,,,1.0,,7.0,,,
ro_nonstandard-ud-dev,1052,0,7,,,,,2.0,,4.0,,1.0,
ro_nonstandard-ud-train,24121,0,192,4.0,,,2.0,44.0,1.0,129.0,2.0,10.0,
ro_simonero-ud-test,491,0,3,,,,,2.0,,1.0,,,
ro_simonero-ud-train,3747,0,25,,,,,14.0,,10.0,,1.0,
ro_simonero-ud-dev,443,0,2,,,,,2.0,,,,,
ro_tuecl-ud-test,210,0,4,,,,,,,4.0,,,
ro_rrt-ud-test,729,0,10,,,,,2.0,1.0,6.0,,,1.0
ro_rrt-ud-train,8043,0,82,1.0,1.0,1.0,,41.0,1.0,37.0,,,
ro_rrt-ud-dev,752,0,8,,,,,5.0,,3.0,,,
