Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,iobj,nmod,nummod,obj,obl,orphan,parataxis,root,xcomp
ru_taiga-ud-train,16045,0,14,,,,,,7.0,,,7.0,,,,
ru_taiga-ud-dev,946,0,2,,,,,,1.0,,,,,,1.0,
ru_taiga-ud-test,881,0,7,1.0,,,,,4.0,,,1.0,,,1.0,
ru_syntagrus-ud-train,69630,0,373,4.0,1.0,4.0,1.0,,183.0,1.0,1.0,141.0,,9.0,28.0,
ru_syntagrus-ud-dev,8906,0,29,1.0,,,,,9.0,,,16.0,,1.0,1.0,1.0
ru_syntagrus-ud-test,8800,0,21,1.0,,,1.0,,7.0,,,10.0,,,2.0,
ru_poetry-ud-test,728,0,1,,,,,,,,,1.0,,,,
ru_poetry-ud-dev,789,0,3,,,,,,,,,3.0,,,,
ru_poetry-ud-train,3569,0,1,,,,,,,,,1.0,,,,
ru_pud-ud-test,1000,0,11,,,,,,5.0,,,6.0,,,,
ru_gsd-ud-test,601,0,7,,,,,,4.0,,,2.0,1.0,,,
ru_gsd-ud-dev,579,0,4,,,,,,3.0,,,1.0,,,,
ru_gsd-ud-train,3850,0,24,,,1.0,,,10.0,1.0,,12.0,,,,
bg_btb-ud-train,8907,0,12,,,,1.0,4.0,1.0,,,2.0,,,4.0,
bg_btb-ud-test,1116,0,1,,,,,,,,,1.0,,,,
bg_btb-ud-dev,1115,0,2,,,,,1.0,1.0,,,,,,,
