Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,flat,nmod,nsubj,nummod,obj,obl,orphan,root,xcomp
es_gsd-ud-test,426,0,10,,,,,,,,,1.0,,,,9.0,,,
es_gsd-ud-dev,1400,0,10,,,,,,,,,4.0,,,,6.0,,,
es_gsd-ud-train,14187,0,109,1.0,,1.0,,,,,,24.0,,,,81.0,,2.0,
pt_porttinari-ud-train,5893,0,4,,,,,,,,,1.0,,,,3.0,,,
pt_porttinari-ud-test,1683,0,2,,,,,,,,,1.0,,,,1.0,,,
es_ancora-ud-train,14287,0,313,1.0,1.0,3.0,,,,,1.0,79.0,,,1.0,226.0,,1.0,
es_ancora-ud-test,1721,0,24,,,,,,,,,6.0,,,,18.0,,,
es_ancora-ud-dev,1654,0,35,,,,,,,,,8.0,,,,27.0,,,
la_circse-ud-test,1263,0,13,,,,,,,,,,,,,13.0,,,
la_perseus-ud-test,939,0,3,,,,,,,,,,,,,3.0,,,
la_perseus-ud-train,1334,0,6,,,,,,,,,1.0,,,,5.0,,,
gl_treegal-ud-test,400,0,1,,,,,,,,,,,,,1.0,,,
gl_ctg-ud-dev,860,0,4,,,,,,,1.0,,,,,,3.0,,,
gl_ctg-ud-test,861,0,10,,,,,,,,,2.0,,,,8.0,,,
gl_ctg-ud-train,2272,0,10,,,,,,,,,4.0,,,,6.0,,,
pt_gsd-ud-train,9616,0,2,,,,,,,,,1.0,,,,1.0,,,
la_llct-ud-dev,850,0,10,,,,,,,,,1.0,,,,8.0,,,1.0
la_llct-ud-test,884,0,4,,,,,,,,,3.0,,,,1.0,,,
la_llct-ud-train,7289,0,81,,,,,,,,,12.0,,,,69.0,,,
es_pud-ud-test,1000,0,1,,,,,,,,,1.0,,,,,,,
la_proiel-ud-test,1260,0,9,,,,,,,,,,,,,9.0,,,
la_proiel-ud-dev,1233,0,11,2.0,,,1.0,,,,,,,,,8.0,,,
la_proiel-ud-train,16196,0,127,5.0,5.0,1.0,2.0,2.0,,,,2.0,1.0,,,102.0,1.0,6.0,
pt_cintil-ud-test,3840,0,1,,,,,,,,,,,,,1.0,,,
pt_cintil-ud-dev,3840,0,1,,,,,,,,,,,,,1.0,,,
pt_cintil-ud-train,30720,0,3,,,1.0,,,,,,,,,,2.0,,,
la_udante-ud-train,926,0,11,,,,,,,,,,,,,11.0,,,
la_udante-ud-test,419,0,13,,1.0,,,,,,,,,,,10.0,2.0,,
la_udante-ud-dev,376,0,7,,,,,,,,,,,,,5.0,2.0,,
gl_pud-ud-test,1000,0,1,,,,,,,,,1.0,,,,,,,
la_ittb-ud-dev,2101,0,6,1.0,,,,,,,,1.0,,,,4.0,,,
la_ittb-ud-test,2101,0,1,,1.0,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,135,6.0,19.0,,,6.0,6.0,,,1.0,,,,88.0,,8.0,1.0
it_vit-ud-train,8277,0,1,,,,,,,,,1.0,,,,,,,
cs_cac-ud-train,23478,0,1,,,,,,,,,,,1.0,,,,,
