Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,csubj,discourse,dislocated,fixed,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
uk_iu-ud-dev,673,0,85,,,,,2.0,1.0,,,,,,,,15.0,,,,63.0,,3.0,,,1.0,
uk_iu-ud-train,5521,0,643,,,,,4.0,2.0,1.0,,1.0,,,17.0,,100.0,,7.0,,492.0,1.0,10.0,,,8.0,
uk_iu-ud-test,898,0,149,,,,,3.0,,,,,,,3.0,,40.0,,3.0,,96.0,,3.0,,,1.0,
orv_rnc-ud-dev,943,0,17,,,,,,,,,,,,,,4.0,1.0,,,12.0,,,,,,
orv_rnc-ud-train,1868,0,71,,,,2.0,1.0,,1.0,,,,,,,22.0,,,,39.0,6.0,,,,,
orv_rnc-ud-test,717,0,38,,,,,,,,,,,,,,4.0,,,,34.0,,,,,,
orv_ruthenian-ud-test,390,0,18,,,,,,,,,,,,,,3.0,,,,13.0,,,,,2.0,
orv_ruthenian-ud-train,2789,0,271,,,,,7.0,,,,,,,,,40.0,,,,211.0,13.0,,,,,
orv_ruthenian-ud-dev,344,0,20,,,,,,,,,,,,,,3.0,,,,15.0,2.0,,,,,
cu_proiel-ud-train,18327,0,159,,1.0,4.0,12.0,1.0,,,,,,,,,3.0,2.0,,,123.0,4.0,,,,7.0,2.0
cu_proiel-ud-test,2096,0,29,,,,5.0,,,,,,,,,,,,,,23.0,1.0,,,,,
cu_proiel-ud-dev,2205,0,28,,,,2.0,1.0,,,,,,,,,,,,,23.0,,,,,2.0,
kpv_ikdp-ud-test,214,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,,
ru_taiga-ud-train,16045,0,261,,2.0,2.0,1.0,,3.0,,1.0,,,,,,78.0,2.0,3.0,1.0,140.0,4.0,4.0,,,20.0,
ru_taiga-ud-dev,946,0,18,,,,,,,,,,,,,,2.0,,,,13.0,,2.0,,,1.0,
ru_taiga-ud-test,881,0,24,,,,,,,,,,,,,,7.0,,,,12.0,2.0,1.0,,,2.0,
mk_mtb-ud-test,155,0,4,,,,,,,,,,,,,,,,,,4.0,,,,,,
ru_syntagrus-ud-train,69630,0,1966,2.0,31.0,20.0,11.0,7.0,10.0,,,,,3.0,,,508.0,30.0,15.0,,1139.0,2.0,42.0,1.0,,142.0,3.0
ru_syntagrus-ud-dev,8906,0,216,,2.0,4.0,,,1.0,,,,,,,,67.0,4.0,1.0,,118.0,,2.0,,,17.0,
ru_syntagrus-ud-test,8800,0,278,,2.0,3.0,,,,,,,,,,,84.0,3.0,3.0,1.0,155.0,,5.0,2.0,,20.0,
orv_birchbark-ud-train,1045,0,6,,,,,,,,,,,,,,2.0,,,,3.0,,,,,1.0,
orv_birchbark-ud-dev,1062,0,13,,,,,,,,,,,,,,,,,1.0,10.0,1.0,,,,1.0,
orv_birchbark-ud-test,1007,0,13,,,,,,,,,,,,,,5.0,,,,5.0,1.0,,,1.0,1.0,
ru_poetry-ud-test,728,0,17,,,,1.0,,,,,,,,,,1.0,,,,14.0,,,,,1.0,
ru_poetry-ud-dev,789,0,6,,,,,,,,,,,,,,2.0,,,,3.0,,,,,1.0,
ru_poetry-ud-train,3569,0,49,,,,,,,,,,,,,,9.0,,,,37.0,,2.0,,,1.0,
ru_pud-ud-test,1000,0,59,,,1.0,,1.0,,,,,,,,,25.0,,2.0,3.0,25.0,,,,,2.0,
orv_torot-ud-test,2955,0,72,,1.0,1.0,2.0,2.0,,,,,,,,,6.0,,,,55.0,4.0,,,,1.0,
orv_torot-ud-dev,3061,0,55,,,,1.0,2.0,,,,,,,,,1.0,,,,49.0,,,,,2.0,
orv_torot-ud-train,20480,0,328,,1.0,2.0,13.0,8.0,,,,,2.0,,2.0,,19.0,3.0,1.0,5.0,228.0,41.0,,,,3.0,
ru_gsd-ud-test,601,0,20,,,,,,,,,,,,,,8.0,1.0,,,11.0,,,,,,
ru_gsd-ud-dev,579,0,25,,,,,,,,,,,,,,11.0,1.0,,,11.0,1.0,1.0,,,,
ru_gsd-ud-train,3850,0,171,,,,,,,,,,,,,,79.0,,,,86.0,3.0,2.0,,,1.0,
bg_btb-ud-train,8907,0,278,,,1.0,2.0,,2.0,,,,,,,80.0,44.0,,,2.0,135.0,,,,,11.0,1.0
bg_btb-ud-test,1116,0,44,,,,,,,,,,,,,16.0,5.0,,,,22.0,,,,,1.0,
bg_btb-ud-dev,1115,0,42,,,,1.0,,,,,,,,,14.0,6.0,,,2.0,18.0,,,,,1.0,
