Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
fr_pud-ud-test,1000,0,122,,1.0,,,,,,,,,,11.0,,,,100.0,,,,,4.0,6.0
fr_fqb-ud-test,2289,0,36,,,,,,,,,,,,1.0,,,,34.0,,,,,,1.0
fr_gsd-ud-test,416,0,47,,,,,,,,,,,,4.0,,,,37.0,2.0,1.0,,,2.0,1.0
fr_gsd-ud-train,14450,0,2104,4.0,3.0,6.0,9.0,2.0,,,,,,,226.0,4.0,,,1735.0,5.0,3.0,,,78.0,29.0
fr_gsd-ud-dev,1476,0,223,,2.0,1.0,,,,,,,,,19.0,,,,192.0,,,,,4.0,5.0
fr_rhapsodie-ud-train,1288,0,53,,,1.0,,1.0,,,,1.0,,,3.0,,,,37.0,,,,4.0,4.0,2.0
fr_rhapsodie-ud-dev,1081,0,38,,1.0,1.0,,,,,1.0,,,,4.0,,,,24.0,,,,2.0,5.0,
fr_rhapsodie-ud-test,840,0,31,,,,,,,,,,,,3.0,,,,24.0,,,,,3.0,1.0
fr_parisstories-ud-dev,692,0,8,,,,,,,,,,,,1.0,,,,6.0,,,,,1.0,
fr_parisstories-ud-train,1387,0,33,,,,,,,,,,,,1.0,,,1.0,27.0,,,,1.0,1.0,2.0
fr_parisstories-ud-test,697,0,12,,,2.0,,,,,1.0,,,,1.0,,,,4.0,,,,1.0,3.0,
fro_profiterole-ud-train,15503,0,201,2.0,2.0,12.0,,1.0,,,,,,7.0,4.0,,,1.0,170.0,,,,,2.0,
qaf_arabizi-ud-train,1003,0,16,,,,,,,,,,,,7.0,,,,8.0,,1.0,,,,
qaf_arabizi-ud-test,145,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
qaf_arabizi-ud-dev,139,0,2,,,,,,,,,,,,,,,,1.0,,,,,1.0,
lv_lvtb-ud-test,2412,0,278,,2.0,,,1.0,,,1.0,2.0,,121.0,60.0,,,,32.0,2.0,,,,18.0,39.0
lv_lvtb-ud-train,14358,0,1797,17.0,8.0,1.0,,8.0,2.0,4.0,4.0,9.0,2.0,806.0,437.0,2.0,7.0,2.0,196.0,5.0,1.0,,,38.0,248.0
lv_lvtb-ud-dev,2080,0,246,2.0,1.0,,,,,,1.0,1.0,,112.0,69.0,,1.0,,28.0,,,1.0,,4.0,26.0
cs_cac-ud-train,23478,0,2,,,,,,,,,,1.0,,,,,1.0,,,,,,,
fr_partut-ud-dev,107,0,5,,,,,,,,,,,,2.0,,,,3.0,,,,,,
fr_partut-ud-test,110,0,18,,,,,,,,,,,,1.0,,,,17.0,,,,,,
fr_partut-ud-train,803,0,123,,,,,,,,,,,,36.0,2.0,,,82.0,,,,,3.0,
fr_sequoia-ud-test,456,0,75,,,2.0,,,,,,,,,21.0,,,,51.0,,,,,1.0,
fr_sequoia-ud-train,2231,0,315,,,4.0,,2.0,,,,,,,61.0,,,,248.0,,,,,,
fr_sequoia-ud-dev,412,0,60,,,1.0,,,,,,,,,13.0,,,,46.0,,,,,,
