Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dislocated,nmod,obj,obl,orphan,parataxis,reparandum,root,xcomp
de_hdt-ud-test,18459,0,2708,1.0,1.0,,,1.0,,,643,229.0,1658,,3.0,,147.0,25.0
de_hdt-ud-train,153035,0,21648,9.0,9.0,14.0,2.0,20.0,7.0,,5097,1907.0,13308,,32.0,,991.0,252.0
de_hdt-ud-dev,18434,0,2633,3.0,,3.0,,2.0,,,631,229.0,1589,,1.0,,135.0,40.0
de_pud-ud-test,1000,0,120,,,,,,,,27,,93,,,,,
de_lit-ud-test,1920,0,160,,1.0,3.0,,,,,27,2.0,120,1.0,4.0,,1.0,1.0
de_gsd-ud-train,13814,0,1443,1.0,1.0,1.0,1.0,,,,394,,906,1.0,4.0,,133.0,1.0
de_gsd-ud-dev,799,0,72,,,1.0,,,,,17,,51,,,,3.0,
de_gsd-ud-test,977,0,100,,,,,,,,39,,57,,,,4.0,
qtd_sagt-ud-test,805,0,26,,,,,2.0,,1.0,1,,19,,,,3.0,
qtd_sagt-ud-dev,801,0,19,,1.0,,,,,,2,2.0,11,,,1.0,1.0,1.0
qtd_sagt-ud-train,578,0,20,,,,,,,,5,4.0,9,,1.0,,1.0,
