Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,dislocated,flat,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,27,,,1.0,,,,,,,,,,,1.0,5.0,,,,20.0,,,,,
en_partut-ud-train,1781,0,478,,3.0,4.0,,,1.0,,1.0,,,,,,12.0,135.0,,5.0,,314.0,,1.0,,1.0,1.0
en_partut-ud-test,153,0,53,,5.0,1.0,,,,,,,,,,,1.0,7.0,,,,37.0,,,,,2.0
es_gsd-ud-train,14187,0,5,,,,,,,,,,,,,,,5.0,,,,,,,,,
sv_talbanken-ud-dev,504,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,
he_iahltwiki-ud-train,4298,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,
ga_twittirish-ud-dev,864,0,3,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0
ga_twittirish-ud-test,866,0,5,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,1.0
ga_twittirish-ud-train,866,0,7,,,,,,,,,,,,,,,1.0,,,,2.0,,2.0,,,2.0
bor_bdt-ud-test,881,0,55,,,,,2.0,,,,,,,,,,,,,,47.0,,2.0,,3.0,1.0
en_atis-ud-test,586,0,436,,,,,,,,,,,1.0,,2.0,,337.0,,,,95.0,,,,,1.0
en_atis-ud-train,4274,0,3322,,1.0,,,,,1.0,,,,2.0,1.0,9.0,,2646.0,1.0,,,621.0,,,,,40.0
en_atis-ud-dev,572,0,445,,,,,,,,,,,,,2.0,,358.0,,,,79.0,,,,,6.0
sv_lines-ud-train,3176,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,
nds_lsdc-ud-train,500,0,61,,,,2.0,1.0,2.0,,,,,,,,,5.0,,,,42.0,,1.0,,7.0,1.0
nds_lsdc-ud-test,500,0,45,,,2.0,3.0,,1.0,,,,,,,,,5.0,,,1.0,29.0,,1.0,,3.0,
en_gum-ud-train,9521,0,1233,1.0,5.0,5.0,4.0,,,6.0,,,,,,,1.0,278.0,,1.0,,908.0,,4.0,,17.0,3.0
en_gum-ud-test,1285,0,186,,1.0,,2.0,,,,,,,,,,,45.0,,,,137.0,,,,1.0,
en_gum-ud-dev,1341,0,165,,,1.0,1.0,,,,,,,,,,,31.0,,,,131.0,,,1.0,,
it_isdt-ud-train,13121,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,
en_lines-ud-train,3176,0,575,,3.0,5.0,4.0,,7.0,,,,,1.0,,,,92.0,,4.0,4.0,449.0,,,,5.0,1.0
en_lines-ud-dev,1032,0,152,,1.0,3.0,3.0,,,,,,,,,,1.0,22.0,,1.0,1.0,119.0,,,,,1.0
en_lines-ud-test,1035,0,156,,2.0,,,1.0,1.0,,,,,,,,,17.0,1.0,1.0,2.0,127.0,1.0,,,1.0,2.0
en_ewt-ud-test,2077,0,193,,4.0,,1.0,,,1.0,,,,,,,,35.0,,,,148.0,,,,2.0,2.0
en_ewt-ud-dev,2001,0,186,,1.0,,1.0,,,,,,,,,,,31.0,,,,152.0,,,,1.0,
en_ewt-ud-train,12544,0,1674,,14.0,10.0,8.0,,6.0,1.0,,,,,,,,396.0,,,,1213.0,,2.0,,21.0,3.0
pcm_nsc-ud-dev,990,0,84,,7.0,10.0,,,19.0,,,,,5.0,,,,1.0,,,,39.0,,,1.0,2.0,
pcm_nsc-ud-train,7279,0,663,,62.0,84.0,,,259.0,4.0,10.0,3.0,1.0,13.0,,,3.0,9.0,,,,166.0,,12.0,11.0,24.0,2.0
pcm_nsc-ud-test,972,0,82,,6.0,7.0,,,37.0,,2.0,,,4.0,,,2.0,4.0,,,,16.0,,,2.0,2.0,
en_pronouns-ud-test,285,0,10,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,
qtd_sagt-ud-train,578,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,
en_gentle-ud-test,1334,0,160,,1.0,,2.0,,,,,,,,,,1.0,39.0,1.0,,,110.0,,4.0,,2.0,
en_pud-ud-test,1000,0,189,,,,2.0,,,,,,,,,,1.0,56.0,,,,129.0,,,,1.0,
