Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,dep,nmod,nsubj,nummod,obj,obl,punct,root,xcomp
sl_ssj-ud-test,1282,0,17,,,,,1.0,,,3.0,,,,13.0,,,
sl_ssj-ud-dev,1250,0,9,,,,,,,,3.0,,,,6.0,,,
sl_ssj-ud-train,10903,0,90,,,1.0,,3.0,,,32.0,,,,54.0,,,
pl_pdb-ud-test,2215,0,44,,,,,,,,10.0,,,,34.0,,,
pl_pdb-ud-train,17722,0,287,,,,,,,,76.0,,,,211.0,,,
pl_pdb-ud-dev,2215,0,32,,,,,,,,10.0,,,,22.0,,,
hr_set-ud-dev,960,0,2,,,,,,,,2.0,,,,,,,
hr_set-ud-train,6914,0,20,,,,,,,,14.0,,,,6.0,,,
hr_set-ud-test,1136,0,4,,,,,,,,3.0,,,,1.0,,,
sk_snk-ud-dev,1060,0,5,,,,,,,,,,,,5.0,,,
sk_snk-ud-test,1061,0,10,,,,,,,,8.0,,,,2.0,,,
sk_snk-ud-train,8483,0,40,,,,1.0,1.0,,,4.0,,1.0,,32.0,,1.0,
cs_pud-ud-test,1000,0,10,,,,,,,,6.0,,,,4.0,,,
hsb_ufal-ud-test,623,0,7,,,,,,,,3.0,,,1.0,3.0,,,
sr_set-ud-test,520,0,2,,,,,,,,2.0,,,,,,,
sr_set-ud-train,3328,0,17,,,,,,,,10.0,,,,7.0,,,
sr_set-ud-dev,536,0,4,,,,,,,,4.0,,,,,,,
cs_cltt-ud-train,467,0,1,,,,,,,,1.0,,,,,,,
cs_cltt-ud-test,338,0,2,,,,,,,,,,2.0,,,,,
cs_fictree-ud-dev,1309,0,10,,,,,,,,2.0,,,,8.0,,,
cs_fictree-ud-train,10160,0,84,,,,,,,2.0,17.0,,,,65.0,,,
cs_fictree-ud-test,1291,0,12,,,,,,,,2.0,,,,10.0,,,
sl_sst-ud-train,4558,0,9,,,,,,,,7.0,,,,1.0,,1.0,
sl_sst-ud-test,1041,0,7,,,,,1.0,,,1.0,,1.0,,4.0,,,
sl_sst-ud-dev,505,0,2,,,,,,,,1.0,,,,1.0,,,
cs_pdt-ud-test,10146,0,97,,1.0,,,,,2.0,55.0,,4.0,,33.0,,2.0,
cs_pdt-ud-dev,9270,0,68,1.0,1.0,,,,,,43.0,,3.0,,20.0,,,
cs_pdt-ud-train,68491,0,631,,3.0,2.0,1.0,3.0,3.0,9.0,365.0,2.0,15.0,1.0,217.0,2.0,8.0,
pl_pud-ud-test,1000,0,9,,,,,,,,5.0,,,,4.0,,,
cs_cac-ud-dev,603,0,3,,,,,,,,1.0,,,,2.0,,,
cs_cac-ud-train,23478,0,180,,,,2.0,,,1.0,92.0,,3.0,,79.0,,2.0,1.0
cs_cac-ud-test,628,0,6,,,,,,,,2.0,,,,4.0,,,
pl_lfg-ud-test,1727,0,15,,,,,,,,1.0,,,,14.0,,,
pl_lfg-ud-train,13774,0,86,,,,,,,,17.0,,,,68.0,,1.0,
pl_lfg-ud-dev,1745,0,9,,,,,,,,2.0,,,,7.0,,,
cs_poetry-ud-test,297,0,19,,,,,,,,3.0,,,,16.0,,,
