Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dep,mark,nmod,nsubj,obj,obl,parataxis,root,xcomp
is_pud-ud-test,1000,0,154,5.0,2.0,,1.0,1.0,,,2.0,57.0,,1.0,78,,3.0,4.0
fo_oft-ud-test,1208,0,74,1.0,,,,,,,,19.0,,,50,,4.0,
is_gc-ud-test,540,0,82,,,,,,,,,,,,82,,,
is_gc-ud-train,3960,0,489,,,1.0,,,,,,,,1.0,484,,3.0,
is_gc-ud-dev,500,0,77,,,1.0,,,,,,,,,75,,1.0,
is_icepahc-ud-dev,4865,0,700,45.0,14.0,1.0,,14.0,1.0,,,,,,589,,34.0,2.0
is_icepahc-ud-train,34007,0,3860,166.0,113.0,4.0,1.0,92.0,2.0,,,,3.0,5.0,3163,7.0,295.0,9.0
is_icepahc-ud-test,5157,0,579,33.0,16.0,,,17.0,4.0,,,,1.0,1.0,469,1.0,34.0,3.0
is_modern-ud-dev,394,0,52,3.0,1.0,,,,,,,,,,44,1.0,2.0,1.0
is_modern-ud-train,2703,0,340,20.0,5.0,,,5.0,,1.0,,,,,298,1.0,7.0,3.0
is_modern-ud-test,438,0,52,1.0,2.0,,,2.0,,,,,,,46,,1.0,
