Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,csubj,dep,expl,fixed,mark,nmod,nsubj,nummod,obj,obl,punct,root,xcomp
cs_pud-ud-test,1000,0,18,,,,,,,,,,,,2.0,,,,16,,,
hsb_ufal-ud-test,623,0,35,,,1.0,,,,,,,,,8.0,,,1.0,25,,,
cs_cltt-ud-dev,316,0,29,,,,,,,,,,,,4.0,,,,25,,,
cs_cltt-ud-train,467,0,50,,,,,,,,1.0,,,,22.0,,,,27,,,
cs_cltt-ud-test,338,0,36,,,,,,,,2.0,,,,7.0,,,,27,,,
cs_fictree-ud-dev,1309,0,12,,,,,1.0,,,,,,,2.0,,,,9,,,
cs_fictree-ud-train,10160,0,76,,1.0,,,,1.0,,,,,,4.0,,,,70,,,
cs_fictree-ud-test,1291,0,9,,,,,,,,,,,,,,,,9,,,
cs_pdt-ud-test,10146,0,243,2.0,3.0,1.0,,,1.0,,3.0,,1.0,,37.0,,1.0,,193,,1.0,
cs_pdt-ud-dev,9270,0,215,4.0,,,,1.0,,,2.0,,,1.0,42.0,,,3.0,161,1.0,,
cs_pdt-ud-train,68491,0,1643,29.0,4.0,2.0,,6.0,2.0,2.0,27.0,1.0,,4.0,296.0,1.0,,,1249,,19.0,1.0
cs_cac-ud-dev,603,0,40,,,,,,,,,,,,14.0,,,,26,,,
cs_cac-ud-train,23478,0,1269,,3.0,2.0,5.0,8.0,3.0,1.0,24.0,,,,281.0,,,,926,,16.0,
cs_cac-ud-test,628,0,26,,,,,,,,,,,,6.0,,,,20,,,
cs_poetry-ud-test,297,0,1,,,,,,,,,,,,,,,,1,,,
