Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,dep,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
pt_porttinari-ud-train,5893,0,984,1.0,7.0,,7.0,,4.0,,321.0,1.0,,,622.0,3.0,5.0,11.0,2.0
pt_porttinari-ud-test,1683,0,264,2.0,,,6.0,,,,99.0,,,,153.0,2.0,1.0,1.0,
pt_porttinari-ud-dev,842,0,137,,,,,,,,52.0,,,,83.0,,,2.0,
pt_petrogold-ud-train,7170,0,1421,1.0,20.0,1.0,10.0,,,,558.0,1.0,5.0,,813.0,1.0,,11.0,
pt_petrogold-ud-test,1039,0,301,,1.0,,6.0,,,,90.0,,,,200.0,,,3.0,1.0
pt_petrogold-ud-dev,737,0,163,1.0,2.0,,4.0,,,,58.0,,,,94.0,,,4.0,
pt_gsd-ud-dev,1204,0,239,,,1.0,,,,1.0,218.0,,,5.0,14.0,,,,
pt_gsd-ud-test,1200,0,249,,1.0,,,,,,229.0,,,3.0,16.0,,,,
pt_gsd-ud-train,9616,0,1917,,,,1.0,,,5.0,1724.0,,,33.0,152.0,,,2.0,
pt_cintil-ud-test,3840,0,495,,,,,21.0,,,,,,,454.0,,8.0,12.0,
pt_cintil-ud-dev,3840,0,259,,1.0,,2.0,10.0,,,,,,,219.0,,,27.0,
pt_cintil-ud-train,30720,0,2464,,6.0,,4.0,50.0,,,,,,3.0,1888.0,,15.0,498.0,
pt_bosque-ud-dev,1172,0,195,,1.0,,,,,2.0,68.0,,,28.0,88.0,,,5.0,3.0
pt_bosque-ud-test,1167,0,164,,,,,,,5.0,64.0,1.0,,20.0,72.0,,1.0,1.0,
pt_bosque-ud-train,7018,0,1142,2.0,3.0,2.0,2.0,,,16.0,410.0,,3.0,146.0,538.0,1.0,,12.0,7.0
ca_ancora-ud-dev,1709,0,1,,,,,,,,,,,,1.0,,,,
ca_ancora-ud-test,1846,0,1,,,,,,,,,,,,1.0,,,,
ca_ancora-ud-train,13123,0,0,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,7,,,,1.0,,,,,,,,6.0,,,,
