Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,discourse,iobj,nmod,nsubj,obj,obl,root,xcomp
tr_kenet-ud-dev,1646,0,8,,,1.0,,,,,3.0,,,4.0,,
tr_kenet-ud-test,1643,0,5,2.0,,,,,,,,,,1.0,1.0,1.0
tr_kenet-ud-train,15398,0,28,1.0,1.0,,,1.0,,,5.0,1.0,2.0,14.0,2.0,1.0
tr_framenet-ud-train,2288,0,2,,,,,,1.0,,1.0,,,,,
tr_gb-ud-test,2880,0,3,,2.0,,,,,,,,,1.0,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,1.0,,
ota_boun-ud-test,400,0,4,,,,,,,,,,1.0,3.0,,
tr_imst-ud-train,3435,0,3,,,1.0,,,,1.0,1.0,,,,,
tr_imst-ud-dev,1100,0,1,,,,,,,,,,,,1.0,
tr_imst-ud-test,1100,0,0,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,3,,,,,,,,1.0,1.0,,1.0,,
tr_penn-ud-train,14850,0,13,,,,1.0,,1.0,,1.0,3.0,4.0,2.0,1.0,
