Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,fixed,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
uk_iu-ud-dev,673,0,13,,,,,,,,,,,,1.0,,2.0,,,,9.0,,1.0,,,
uk_iu-ud-train,5521,0,141,,,1.0,,2.0,,,,,,,1.0,,25.0,,,1.0,106.0,1.0,3.0,,1.0,
uk_iu-ud-test,898,0,24,,,,,,,,,,,,1.0,,7.0,,,,15.0,,1.0,,,
orv_rnc-ud-dev,943,0,119,,,,,4.0,,,,,,,,,19.0,3.0,,6.0,79.0,,5.0,,3.0,
orv_rnc-ud-train,1868,0,354,,,1.0,,9.0,,,,,,,,,46.0,2.0,1.0,2.0,270.0,17.0,,,6.0,
orv_rnc-ud-test,717,0,191,,,,,6.0,,1.0,,,,,1.0,,13.0,2.0,1.0,3.0,159.0,2.0,1.0,,2.0,
orv_ruthenian-ud-test,390,0,58,,1.0,,1.0,5.0,,,,,,,1.0,,7.0,,,,40.0,1.0,1.0,,1.0,
orv_ruthenian-ud-train,2789,0,270,,2.0,1.0,2.0,6.0,1.0,,,,,,,,46.0,2.0,1.0,5.0,177.0,18.0,1.0,,6.0,2.0
orv_ruthenian-ud-dev,344,0,26,,,,,,,,,,,,,,1.0,1.0,,,24.0,,,,,
cu_proiel-ud-train,18327,0,598,,1.0,5.0,12.0,5.0,,,,,3.0,,,,11.0,1.0,,2.0,515.0,17.0,,,26.0,
cu_proiel-ud-test,2096,0,87,,1.0,1.0,3.0,2.0,,,,,,,,,1.0,,1.0,,74.0,,,,3.0,1.0
cu_proiel-ud-dev,2205,0,75,,,2.0,7.0,,,,,,,,,,,,1.0,,58.0,1.0,,,6.0,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
kpv_lattice-ud-test,643,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,750,,3.0,1.0,8.0,9.0,1.0,,,,,,,,184.0,2.0,3.0,9.0,440.0,3.0,62.0,,24.0,1.0
ru_taiga-ud-dev,946,0,34,,,,,,,,,,,,,,10.0,,,2.0,21.0,,1.0,,,
ru_taiga-ud-test,881,0,49,,,,,,,,,,,,1.0,,14.0,,1.0,,30.0,1.0,2.0,,,
mk_mtb-ud-test,155,0,3,,,,,,,,,,,,,,,,,1.0,2.0,,,,,
ru_syntagrus-ud-train,69630,0,6190,5.0,5.0,24.0,8.0,7.0,6.0,,3.0,,,2.0,,1.0,2187.0,31.0,14.0,1.0,2720.0,6.0,1066.0,3.0,97.0,4.0
ru_syntagrus-ud-dev,8906,0,695,2.0,,3.0,,1.0,,,,,,1.0,,,264.0,3.0,1.0,,337.0,2.0,73.0,2.0,6.0,
ru_syntagrus-ud-test,8800,0,790,,,3.0,1.0,1.0,1.0,,,,,,,,251.0,4.0,1.0,,431.0,,88.0,1.0,8.0,
orv_birchbark-ud-train,1045,0,20,,,,,,,,,,,,,,3.0,5.0,,,6.0,1.0,,,5.0,
orv_birchbark-ud-dev,1062,0,27,,,,,1.0,,,,,,,,,7.0,3.0,1.0,2.0,10.0,1.0,1.0,,1.0,
orv_birchbark-ud-test,1007,0,42,,,1.0,,,,,,,,,1.0,,10.0,1.0,,2.0,21.0,2.0,1.0,,3.0,
ru_poetry-ud-test,728,0,34,,,,,,,,,,,,,,6.0,,,,25.0,1.0,1.0,,1.0,
ru_poetry-ud-dev,789,0,25,,,,,,,,,,,,,,3.0,,,,22.0,,,,,
ru_poetry-ud-train,3569,0,110,,,,,,1.0,,,,,,,,5.0,,,,101.0,3.0,,,,
ru_pud-ud-test,1000,0,97,,,1.0,,,,,,,,,,,54.0,,2.0,,29.0,,9.0,,2.0,
orv_torot-ud-test,2955,0,202,,1.0,1.0,5.0,4.0,,,,,2.0,,1.0,,4.0,,1.0,2.0,165.0,6.0,,,9.0,1.0
orv_torot-ud-dev,3061,0,195,,,1.0,5.0,7.0,,,,,1.0,,,,5.0,,,,157.0,14.0,,,5.0,
orv_torot-ud-train,20480,0,1337,,3.0,10.0,42.0,8.0,2.0,,,,7.0,,3.0,,35.0,1.0,1.0,13.0,1123.0,56.0,,,29.0,4.0
ru_gsd-ud-test,601,0,71,,,,1.0,,,,,1.0,,,,,18.0,3.0,,,44.0,1.0,3.0,,,
ru_gsd-ud-dev,579,0,60,,,,,,,,,,,,1.0,,21.0,,,,37.0,1.0,,,,
ru_gsd-ud-train,3850,0,452,,,,,2.0,,,,,,,,,188.0,1.0,,,246.0,3.0,6.0,,6.0,
bg_btb-ud-train,8907,0,668,,,1.0,1.0,,,,,,,,,66.0,268.0,2.0,5.0,1.0,314.0,,,,10.0,
bg_btb-ud-test,1116,0,82,,,,,,,,,,,,,7.0,35.0,,1.0,,36.0,,,,3.0,
bg_btb-ud-dev,1115,0,87,,,,,,1.0,,,,,,,8.0,36.0,,,,41.0,,,,1.0,
