Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,csubj,nmod,nsubj,nummod,obj,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,3,,,,,,,,,,3.0,,,
la_perseus-ud-test,939,0,2,,,,,,1.0,,,,1.0,,,
la_perseus-ud-train,1334,0,5,,,,,,1.0,,,,4.0,,,
la_llct-ud-train,7289,0,1,,,,,,,,,,1.0,,,
la_proiel-ud-test,1260,0,4,,,1.0,,,3.0,,,,,,,
la_proiel-ud-dev,1233,0,1,,,,,,1.0,,,,,,,
la_proiel-ud-train,16196,0,42,1.0,,1.0,,,19.0,1.0,1.0,2.0,16.0,1.0,,
la_udante-ud-train,926,0,12,,,,,,1.0,,,,11.0,,,
la_udante-ud-test,419,0,2,,,,,,,,,,2.0,,,
la_udante-ud-dev,376,0,6,,,,,,,,,,6.0,,,
la_ittb-ud-dev,2101,0,29,3.0,2.0,,,1.0,5.0,,,,13.0,,4.0,1.0
la_ittb-ud-test,2101,0,7,1.0,,,,,1.0,,,,5.0,,,
la_ittb-ud-train,22775,0,188,8.0,12.0,,5.0,11.0,21.0,,,,117.0,,14.0,
