Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,dep,dislocated,expl,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
uk_iu-ud-dev,673,0,75,,,,,,,,,,,,,,13.0,,,,57,,4.0,,,1.0,,
uk_iu-ud-train,5521,0,428,1.0,,2.0,,6.0,,,,,,5.0,,,63.0,,,,322,3.0,13.0,1.0,,10.0,,2.0
uk_iu-ud-test,898,0,97,,,,,,,,,,,2.0,,,20.0,,,,68,1.0,6.0,,,,,
orv_rnc-ud-dev,943,0,44,,,,,1.0,,,,,,,1.0,,14.0,1.0,,,24,,,,,2.0,,1.0
orv_rnc-ud-train,1868,0,123,,3.0,,,5.0,,,,,,1.0,,,12.0,1.0,1.0,1.0,96,2.0,1.0,,,,,
orv_rnc-ud-test,717,0,85,,1.0,1.0,,,,,,,,,,,10.0,,,1.0,70,1.0,,,,,1.0,
be_hse-ud-train,22853,0,1354,,4.0,2.0,75.0,17.0,,7.0,2.0,,1.0,,,1.0,365.0,18.0,9.0,15.0,773,1.0,16.0,1.0,,47.0,,
be_hse-ud-dev,1301,0,53,,,,9.0,1.0,,,,,,,,,14.0,,,,28,,,,,1.0,,
be_hse-ud-test,1077,0,40,,,,2.0,,,,,,,,,,12.0,,,,25,,,,,1.0,,
orv_ruthenian-ud-test,390,0,21,,,,,,,,,,,,,,,,,,19,2.0,,,,,,
orv_ruthenian-ud-train,2789,0,215,,2.0,,1.0,4.0,,,,,,,,,19.0,,,,189,,,,,,,
orv_ruthenian-ud-dev,344,0,20,,,,,,,,,,,,,,3.0,,,,17,,,,,,,
cu_proiel-ud-train,18327,0,165,,1.0,2.0,5.0,1.0,,1.0,,,,,,,6.0,,,1.0,140,5.0,,,,2.0,,1.0
cu_proiel-ud-test,2096,0,14,,,,1.0,,,,,,,,,,,,,,13,,,,,,,
cu_proiel-ud-dev,2205,0,21,,,1.0,2.0,,,,,,,,,,,,,,18,,,,,,,
ru_taiga-ud-train,16045,0,570,,4.0,,,3.0,,6.0,,,,,,,107.0,19.0,2.0,,384,6.0,6.0,,,30.0,,3.0
ru_taiga-ud-dev,946,0,24,,,,,,,,,,,,,,4.0,1.0,,,18,,,,,1.0,,
ru_taiga-ud-test,881,0,44,,,,,,,1.0,,,,,,,5.0,,,,35,,,,,3.0,,
mk_mtb-ud-test,155,0,13,,,2.0,,,,,,,,,,,1.0,,,,10,,,,,,,
ru_syntagrus-ud-train,69630,0,3289,3.0,6.0,9.0,5.0,9.0,1.0,7.0,,,,,1.0,,682.0,7.0,4.0,5.0,2399,10.0,49.0,3.0,,85.0,,4.0
ru_syntagrus-ud-dev,8906,0,388,,3.0,2.0,,,,,,,,,,,76.0,,1.0,1.0,285,2.0,4.0,,,14.0,,
ru_syntagrus-ud-test,8800,0,487,,,2.0,,3.0,,,,,,,,,93.0,1.0,,1.0,365,1.0,5.0,,,14.0,,2.0
orv_birchbark-ud-train,1045,0,16,,,,,,,,2.0,,,,,,2.0,,,,6,1.0,1.0,,1.0,3.0,,
orv_birchbark-ud-dev,1062,0,45,,,,,1.0,,,1.0,,,1.0,,,7.0,1.0,,,22,3.0,1.0,,,8.0,,
orv_birchbark-ud-test,1007,0,29,,,,,,,,,1.0,,2.0,,,5.0,,,1.0,14,,,,,6.0,,
ru_poetry-ud-test,728,0,24,,,,,,,,,,,,,,3.0,,,,18,1.0,,,,2.0,,
ru_poetry-ud-dev,789,0,25,,,,,,,,,,,,,,3.0,,,,20,1.0,,,,1.0,,
ru_poetry-ud-train,3569,0,133,,1.0,,,3.0,,1.0,,,,,,,16.0,,,,93,1.0,4.0,,,14.0,,
ru_pud-ud-test,1000,0,45,,,,,2.0,,,,,,,,,9.0,,1.0,,33,,,,,,,
orv_torot-ud-test,2955,0,39,,,,,1.0,,,,,,,,,,,,,37,,,,,1.0,,
orv_torot-ud-dev,3061,0,68,,,,,5.0,,,,,,,,,3.0,,,,56,2.0,,,,2.0,,
orv_torot-ud-train,20480,0,515,,1.0,5.0,5.0,14.0,,2.0,,4.0,,,,,11.0,,,,394,56.0,,,,16.0,,7.0
ru_gsd-ud-test,601,0,21,,,,,,,,,,,,,,5.0,,,,15,1.0,,,,,,
ru_gsd-ud-dev,579,0,27,,,,,,,,,,,,,,8.0,,,,18,1.0,,,,,,
ru_gsd-ud-train,3850,0,209,,,1.0,,4.0,,,,,,2.0,,,66.0,,1.0,1.0,132,,,,,2.0,,
bg_btb-ud-train,8907,0,2198,,3.0,137.0,1.0,,,2.0,,,,,314.0,,1238.0,,,9.0,461,,1.0,,,31.0,,1.0
bg_btb-ud-test,1116,0,271,,,19.0,,,,,,,,,45.0,,148.0,,,2.0,51,,,,,6.0,,
bg_btb-ud-dev,1115,0,294,,1.0,27.0,,,,1.0,,,,,46.0,,161.0,,,4.0,51,,,,,3.0,,
