Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,dislocated,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
uk_iu-ud-dev,673,0,181,,,6.0,,4.0,,,,,,1.0,,,,37.0,,,,129.0,2.0,1.0,,1.0,
uk_iu-ud-train,5521,0,1153,,4.0,13.0,,13.0,,,,,1.0,,10.0,,,204.0,,,,875.0,13.0,7.0,3.0,10.0,
uk_iu-ud-test,898,0,198,,,2.0,,8.0,1.0,,,,,,,,,43.0,,,,142.0,1.0,,,1.0,
orv_rnc-ud-dev,943,0,281,,1.0,1.0,,7.0,,,,,,,5.0,,,5.0,1.0,,,243.0,13.0,,,5.0,
orv_rnc-ud-train,1868,0,244,,2.0,5.0,,50.0,,,,,,,8.0,,,22.0,,,1.0,150.0,2.0,,,4.0,
orv_rnc-ud-test,717,0,91,,1.0,,,5.0,1.0,,,,,,1.0,,,8.0,,,,72.0,1.0,,,1.0,1.0
be_hse-ud-train,22853,0,8782,3.0,23.0,13.0,1.0,17.0,35.0,1.0,3.0,4.0,,,1.0,,1.0,2304.0,3.0,7.0,7.0,5909.0,18.0,61.0,6.0,363.0,2.0
be_hse-ud-dev,1301,0,563,2.0,2.0,,,2.0,1.0,,,,,,1.0,,,127.0,,1.0,3.0,381.0,4.0,2.0,1.0,36.0,
be_hse-ud-test,1077,0,538,,3.0,,,2.0,2.0,,1.0,,,,,,,136.0,,,,369.0,,4.0,,20.0,1.0
orv_ruthenian-ud-test,390,0,39,,,,,,,,,,,,1.0,,,,,,,37.0,1.0,,,,
orv_ruthenian-ud-train,2789,0,384,,,,,52.0,3.0,,,,,,6.0,,,34.0,,,,281.0,6.0,,,2.0,
orv_ruthenian-ud-dev,344,0,56,,,,,4.0,1.0,,,,,,1.0,,,2.0,,,,45.0,1.0,,,2.0,
kpv_ikdp-ud-test,214,0,4,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,
ru_taiga-ud-train,16045,0,669,,10.0,8.0,,1.0,10.0,,,,,,,,,58.0,1.0,1.0,1.0,472.0,1.0,18.0,,88.0,
ru_taiga-ud-dev,946,0,53,,1.0,,,,2.0,,,,,,,,,5.0,,,,35.0,,,,10.0,
ru_taiga-ud-test,881,0,33,,,,,,,,,,,,,,,2.0,,,,20.0,,,,10.0,1.0
ru_syntagrus-ud-train,69630,0,3093,,38.0,38.0,,,42.0,,,,,,,1.0,,351.0,8.0,1.0,,2241.0,15.0,51.0,1.0,298.0,8.0
ru_syntagrus-ud-dev,8906,0,365,,6.0,1.0,,,1.0,,1.0,,,,,1.0,,53.0,1.0,,,259.0,3.0,5.0,,33.0,1.0
ru_syntagrus-ud-test,8800,0,388,,3.0,4.0,,,4.0,,,,,,,,,46.0,,,,300.0,,9.0,,22.0,
orv_birchbark-ud-train,1045,0,134,,,,,1.0,,,,4.0,,,14.0,1.0,,,,,,31.0,3.0,2.0,,78.0,
orv_birchbark-ud-dev,1062,0,239,,,2.0,,16.0,1.0,,,3.0,,,18.0,,,3.0,,1.0,,58.0,13.0,1.0,,123.0,
orv_birchbark-ud-test,1007,0,213,,1.0,3.0,,11.0,,,,1.0,,,28.0,1.0,,1.0,,,2.0,72.0,8.0,2.0,,83.0,
ru_poetry-ud-test,728,0,26,,,1.0,,,,,,,,,,,,6.0,,,,17.0,,1.0,,1.0,
ru_poetry-ud-dev,789,0,25,,,,,,,,,,,,,,,,,,,22.0,,1.0,,2.0,
ru_poetry-ud-train,3569,0,95,,,,,,,,,,,,,,,16.0,,,,62.0,,,,17.0,
ru_pud-ud-test,1000,0,37,,1.0,1.0,,,,,,,,,,,,4.0,,,,28.0,2.0,,,1.0,
orv_torot-ud-test,2955,0,78,,,,,1.0,,,,,,,1.0,,,3.0,,,,66.0,4.0,,,1.0,2.0
orv_torot-ud-dev,3061,0,97,,1.0,,1.0,8.0,,,,,,,,,,6.0,,,,70.0,6.0,,,4.0,1.0
orv_torot-ud-train,20480,0,671,,4.0,11.0,2.0,40.0,2.0,,,,,2.0,3.0,,,37.0,3.0,1.0,1.0,505.0,35.0,,,20.0,5.0
ru_gsd-ud-test,601,0,15,,,,,,1.0,,,,,,,,,,,,,13.0,,1.0,,,
ru_gsd-ud-dev,579,0,14,,,,,,,,,,,,,,,6.0,,,,8.0,,,,,
ru_gsd-ud-train,3850,0,101,,,,,,,,,,,,2.0,,,26.0,,,,67.0,4.0,,,2.0,
bg_btb-ud-train,8907,0,63,,,,,,,,,,,,,9.0,,34.0,,,,19.0,,,,1.0,
bg_btb-ud-test,1116,0,10,,,,,,,,,,,,,1.0,,9.0,,,,,,,,,
bg_btb-ud-dev,1115,0,8,,,,,,,,,,,,,4.0,,2.0,,,,2.0,,,,,
