Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
ar_nyuad-ud-train,15789,0,36,,,,,3.0,,,3.0,1.0,,25.0,,,,2.0,2.0
ar_nyuad-ud-dev,1986,0,5,,,,,,,,1.0,1.0,,3.0,,,,,
ar_nyuad-ud-test,1963,0,1,,,,,,,,,,,1.0,,,,,
pl_pdb-ud-test,2215,0,940,,1.0,1.0,,,,,1.0,286.0,1.0,,635.0,1.0,5.0,9.0,
pl_pdb-ud-train,17722,0,8082,17.0,19.0,5.0,1.0,16.0,2.0,1.0,1.0,2443.0,4.0,3.0,5455.0,9.0,20.0,80.0,6.0
pl_pdb-ud-dev,2215,0,998,,3.0,1.0,2.0,,,,,293.0,1.0,1.0,689.0,2.0,1.0,5.0,
hsb_ufal-ud-test,623,0,245,1.0,1.0,,2.0,,,,,97.0,,2.0,139.0,3.0,,,
hsb_ufal-ud-train,23,0,14,,,,,,,,,6.0,,,8.0,,,,
pl_pud-ud-test,1000,0,673,3.0,3.0,,,1.0,,,,168.0,1.0,,484.0,3.0,,10.0,
pl_lfg-ud-test,1727,0,266,,,,,,,,,47.0,,,214.0,,,5.0,
pl_lfg-ud-train,13774,0,2238,,2.0,,,4.0,,,,366.0,,,1816.0,,,49.0,1.0
pl_lfg-ud-dev,1745,0,261,,,,,,,,,36.0,,,216.0,,,7.0,2.0
