Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dislocated,nmod,obl
en_partut-ud-train,1781,0,4,,,,1.0,,1.0,2.0
en_gum-ud-train,9521,0,4,,,,,,4.0,
en_gum-ud-test,1285,0,2,,,,,,2.0,
en_gum-ud-dev,1341,0,2,,,,,,2.0,
en_lines-ud-train,3176,0,9,1.0,,,,1.0,6.0,1.0
en_lines-ud-dev,1032,0,2,,,1.0,,,1.0,
en_lines-ud-test,1035,0,4,2.0,,,,1.0,1.0,
en_ewt-ud-test,2077,0,1,,,,,,1.0,
en_ewt-ud-dev,2001,0,2,,,,,,2.0,
en_ewt-ud-train,12544,0,12,,1.0,1.0,,,9.0,1.0
en_gentle-ud-test,1334,0,1,,,,,,,1.0
