Treebank,Number of Sentences,Failures,Total,acl,advmod,appos,dislocated,nmod,nummod,obl,parataxis,root,vocative,xcomp
en_partut-ud-train,1781,0,1,,,,,1.0,,,,,,
no_bokmaal-ud-dev,2409,0,2,,,,,,,2.0,,,,
no_bokmaal-ud-test,1939,0,4,,1.0,,,,,3.0,,,,
no_bokmaal-ud-train,15696,0,16,,,,,1.0,,15.0,,,,
de_hdt-ud-test,18459,0,42,,,,,21.0,,21.0,,,,
de_hdt-ud-train,153035,0,233,,,,,121.0,,112.0,,,,
de_hdt-ud-dev,18434,0,21,,,,,9.0,,12.0,,,,
pt_porttinari-ud-train,5893,0,1,,,,,,,1.0,,,,
sv_talbanken-ud-test,1219,0,4,,,,,,,4.0,,,,
sv_talbanken-ud-train,4303,0,2,,,,,1.0,,1.0,,,,
no_nynorsk-ud-dev,1890,0,1,,,,,,,1.0,,,,
no_nynorsk-ud-test,1511,0,3,,,,,,,3.0,,,,
no_nynorsk-ud-train,14174,0,14,,,,,1.0,,13.0,,,,
ro_simonero-ud-train,3747,0,1,,,,,1.0,,,,,,
pt_petrogold-ud-train,7170,0,7,,,1.0,,3.0,,3.0,,,,
pt_gsd-ud-train,9616,0,1,,,,,,,1.0,,,,
ga_twittirish-ud-dev,864,0,11,,,,,2.0,,5.0,1.0,,3.0,
ga_twittirish-ud-test,866,0,6,,,,,2.0,,1.0,,,2.0,1.0
ga_twittirish-ud-train,866,0,14,,,,,4.0,,4.0,,,6.0,
en_atis-ud-test,586,0,1,,,,1.0,,,,,,,
en_atis-ud-train,4274,0,12,,,,,4.0,,8.0,,,,
en_atis-ud-dev,572,0,4,,,,,1.0,,3.0,,,,
id_pud-ud-test,1000,0,1,,,,,,,1.0,,,,
af_afribooms-ud-train,1315,0,3,,,,,1.0,,1.0,,1.0,,
af_afribooms-ud-dev,194,0,6,,,,,3.0,,3.0,,,,
fr_pud-ud-test,1000,0,1,,,,,,,1.0,,,,
pt_cintil-ud-test,3840,0,1,,,,,,,1.0,,,,
fr_gsd-ud-train,14450,0,18,,,,,5.0,,13.0,,,,
fr_gsd-ud-dev,1476,0,3,,,,,3.0,,,,,,
sv_lines-ud-dev,1032,0,1,,,,,,,1.0,,,,
sv_lines-ud-train,3176,0,4,,,,,1.0,,3.0,,,,
sv_lines-ud-test,1035,0,2,,,,,,,2.0,,,,
en_gum-ud-train,9521,0,10,,,,,3.0,,6.0,,1.0,,
en_gum-ud-test,1285,0,1,,,,,,,1.0,,,,
it_isdt-ud-train,13121,0,3,,,,,2.0,,1.0,,,,
en_lines-ud-train,3176,0,1,,,,,,,1.0,,,,
en_ewt-ud-test,2077,0,2,,,,,,,1.0,,1.0,,
en_ewt-ud-dev,2001,0,5,,,,,2.0,,3.0,,,,
en_ewt-ud-train,12544,0,16,,,,,2.0,,14.0,,,,
sv_pud-ud-test,1000,0,2,,,,,1.0,,1.0,,,,
pt_bosque-ud-dev,1172,0,1,,,,,,,1.0,,,,
pt_bosque-ud-train,7018,0,2,,,,,1.0,,1.0,,,,
nl_lassysmall-ud-test,1761,0,5,,,,,2.0,,3.0,,,,
nl_lassysmall-ud-dev,1542,0,6,,,,,,,6.0,,,,
nl_lassysmall-ud-train,13817,0,77,1.0,,,,5.0,,68.0,,3.0,,
da_ddt-ud-train,4383,0,7,,,,,2.0,1.0,4.0,,,,
da_ddt-ud-test,565,0,3,,1.0,,,,,2.0,,,,
da_ddt-ud-dev,564,0,2,,,,,,,2.0,,,,
qaf_arabizi-ud-test,145,0,1,,,,,1.0,,,,,,
it_partut-ud-train,1781,0,1,,,,,1.0,,,,,,
ro_rrt-ud-train,8043,0,1,,,,,1.0,,,,,,
ca_ancora-ud-dev,1709,0,1,,,,,1.0,,,,,,
ca_ancora-ud-test,1846,0,1,,,,,,,1.0,,,,
ca_ancora-ud-train,13123,0,7,,,,,2.0,,5.0,,,,
de_gsd-ud-test,977,0,1,,,,,1.0,,,,,,
it_twittiro-ud-test,142,0,1,,,,,,,,,,1.0,
it_twittiro-ud-train,1138,0,8,,,,,,,,1.0,,7.0,
it_postwita-ud-train,5368,0,193,,,,,7.0,,9.0,1.0,1.0,175.0,
it_postwita-ud-dev,670,0,17,,,,,,,,2.0,,15.0,
it_postwita-ud-test,674,0,16,,,,,3.0,,,,,13.0,
nl_alpino-ud-train,12289,0,48,,,,,5.0,,42.0,1.0,,,
nl_alpino-ud-test,596,0,1,,,,,,,1.0,,,,
it_vit-ud-train,8277,0,3,,,,,1.0,,1.0,,1.0,,
it_vit-ud-test,1067,0,3,,,,,1.0,,2.0,,,,
it_vit-ud-dev,743,0,1,,,,,,,1.0,,,,
en_gentle-ud-test,1334,0,1,,,,,,,1.0,,,,
it_parlamint-ud-test,375,0,2,,,,,1.0,,1.0,,,,
en_pud-ud-test,1000,0,2,,,,,,,2.0,,,,
fr_sequoia-ud-train,2231,0,2,,,,,,,2.0,,,,
