Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,ccomp,cop,csubj,dep,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,12,,,,,,,,,,,,,,,,6.0,,,,6.0,,,,
es_gsd-ud-dev,1400,0,48,,1.0,2.0,,,,,,,,,,,,,29.0,,,,16.0,,,,
es_gsd-ud-train,14187,0,433,,1.0,8.0,,1.0,,,,,,,,,,,247.0,,1.0,1.0,172.0,,,2.0,
pt_porttinari-ud-train,5893,0,157,,,,,,,2.0,,,,,,1.0,,,85.0,,,,67.0,,,2.0,
pt_porttinari-ud-test,1683,0,48,,2.0,,,,,,,,,,,,,,31.0,,,,13.0,1.0,,1.0,
pt_porttinari-ud-dev,842,0,32,,1.0,,,,,,,,,,,,,,17.0,,,,14.0,,,,
es_ancora-ud-train,14287,0,584,4.0,19.0,12.0,10.0,4.0,2.0,6.0,2.0,2.0,,1.0,2.0,9.0,,4.0,298.0,1.0,4.0,4.0,179.0,,1.0,15.0,5.0
es_ancora-ud-test,1721,0,63,,,1.0,1.0,1.0,,,,,,,1.0,3.0,,,33.0,1.0,,1.0,20.0,,,1.0,
es_ancora-ud-dev,1654,0,59,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,27.0,,2.0,,23.0,1.0,,1.0,
pt_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,
gl_treegal-ud-train,600,0,27,,1.0,,,,,,,,,,,,,,16.0,,,,9.0,,,1.0,
gl_treegal-ud-test,400,0,19,,,,,,,,,,,,,,,,12.0,,,,7.0,,,,
gl_ctg-ud-dev,860,0,60,,,,1.0,,,1.0,,,,,,,,,45.0,1.0,,1.0,10.0,,,1.0,
gl_ctg-ud-test,861,0,47,,,,,,,1.0,,,,,,,,,34.0,,,1.0,9.0,,,2.0,
gl_ctg-ud-train,2272,0,139,,,,1.0,,,4.0,,,,,,,,,94.0,1.0,,,34.0,,,5.0,
pt_petrogold-ud-train,7170,0,219,,,,,,,,,,,,,,,,136.0,,,,83.0,,,,
pt_petrogold-ud-test,1039,0,17,,,,,,,,,,,,,,,,12.0,,,,5.0,,,,
pt_petrogold-ud-dev,737,0,31,,,,,,,,,,,,,,,,19.0,,,1.0,11.0,,,,
pt_gsd-ud-dev,1204,0,4,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,
pt_gsd-ud-test,1200,0,5,,,,,1.0,,,,,,,,,,,3.0,,,,1.0,,,,
pt_gsd-ud-train,9616,0,47,,1.0,,,,,,,,,,,,,,27.0,,,3.0,16.0,,,,
es_pud-ud-test,1000,0,42,,,,,,,,,,,,,,,,17.0,,,,21.0,,,1.0,3.0
pt_cintil-ud-test,3840,0,130,,,,,,,,,,1.0,,,,,,,,,3.0,121.0,3.0,,2.0,
pt_cintil-ud-dev,3840,0,68,,,,,1.0,,,,,,,,,,,,1.0,,,65.0,,,1.0,
pt_cintil-ud-train,30720,0,511,,,,,1.0,,,,,4.0,,,,,,,,,1.0,482.0,,,23.0,
pt_bosque-ud-dev,1172,0,42,,,,,,,,,,,,,,1.0,,31.0,,,3.0,7.0,,,,
pt_bosque-ud-test,1167,0,34,,,,,,,1.0,,,,,,,,,27.0,,,2.0,3.0,,,1.0,
pt_bosque-ud-train,7018,0,254,,,,,,,,,,,,,,4.0,,179.0,,,20.0,47.0,,,4.0,
ca_ancora-ud-dev,1709,0,63,,1.0,,5.0,,,,,,,,,1.0,,,31.0,,,1.0,24.0,,,,
ca_ancora-ud-test,1846,0,58,,,,4.0,,,,,,,,,1.0,,1.0,38.0,,,1.0,12.0,,,1.0,
ca_ancora-ud-train,13123,0,484,,3.0,6.0,17.0,,1.0,4.0,1.0,,,,,10.0,,1.0,301.0,1.0,2.0,4.0,130.0,,,1.0,2.0
gl_pud-ud-test,1000,0,47,,,,,,,,,,,,,,,,26.0,1.0,,,19.0,,,,1.0
