Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,csubj,dep,dislocated,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,3,,1.0,,,,,,,,,,,,,,,,2.0,
en_partut-ud-train,1781,0,20,2.0,5.0,,2.0,,,,,,,,,,2.0,,,,7.0,2.0
en_partut-ud-test,153,0,3,3.0,,,,,,,,,,,,,,,,,,
ga_twittirish-ud-dev,864,0,1,,1.0,,,,,,,,,,,,,,,,,
ga_twittirish-ud-train,866,0,1,,,,,,,,,,,1.0,,,,,,,,
en_atis-ud-train,4274,0,1,1.0,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-train,500,0,89,1.0,1.0,3.0,2.0,,,,,,12.0,,,,55.0,3.0,4.0,,8.0,
nds_lsdc-ud-test,500,0,61,1.0,3.0,2.0,,,,,,,4.0,,,,45.0,,,,6.0,
en_gum-ud-train,9521,0,183,34.0,34.0,,4.0,2.0,2.0,1.0,,1.0,,,3.0,1.0,8.0,,4.0,2.0,66.0,21.0
en_gum-ud-test,1285,0,27,4.0,5.0,,2.0,1.0,2.0,,,,,,1.0,,,,,,10.0,2.0
en_gum-ud-dev,1341,0,36,6.0,5.0,1.0,,,,,,,,,,,2.0,,3.0,,17.0,2.0
en_lines-ud-train,3176,0,15,,,,,2.0,,,,,,,,,13.0,,,,,
en_lines-ud-dev,1032,0,2,,,,,,,,,,,,,,2.0,,,,,
en_lines-ud-test,1035,0,4,,,,,,,,,,1.0,,,,3.0,,,,,
en_ewt-ud-test,2077,0,38,6.0,5.0,,3.0,,,,,,,,,1.0,1.0,,1.0,,12.0,9.0
en_ewt-ud-dev,2001,0,26,3.0,4.0,,1.0,,,,,,,,1.0,,1.0,,,,12.0,4.0
en_ewt-ud-train,12544,0,253,31.0,48.0,,18.0,3.0,5.0,,,,2.0,,5.0,,16.0,,9.0,,78.0,38.0
pcm_nsc-ud-dev,990,0,9,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,4.0,
pcm_nsc-ud-train,7279,0,98,9.0,26.0,,14.0,3.0,,,1.0,,,,,1.0,3.0,,4.0,2.0,28.0,7.0
pcm_nsc-ud-test,972,0,19,1.0,5.0,,,2.0,,,1.0,,,,,,1.0,,2.0,,7.0,
en_gentle-ud-test,1334,0,17,2.0,3.0,,,,,,,,,,,,2.0,,2.0,,6.0,2.0
en_pud-ud-test,1000,0,29,5.0,3.0,,,,1.0,,,,1.0,,,1.0,,,1.0,,8.0,9.0
