Treebank,Number of Sentences,Failures,Total,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
ga_twittirish-ud-dev,864,0,2,,,,,1.0,,1.0,
ga_twittirish-ud-train,866,0,3,,,1.0,,1.0,1.0,,
ga_idt-ud-train,4005,0,48,4.0,7.0,5.0,1.0,28.0,,1.0,2.0
ga_idt-ud-test,454,0,3,,,,,3.0,,,
ga_idt-ud-dev,451,0,4,1.0,,,,3.0,,,
pt_bosque-ud-test,1167,0,1,1.0,,,,,,,
pt_bosque-ud-train,7018,0,4,4.0,,,,,,,
gd_arcosg-ud-test,545,0,2,1.0,,,,,,,1.0
gd_arcosg-ud-train,3541,0,11,4.0,,,,5.0,,1.0,1.0
gd_arcosg-ud-dev,655,0,2,,,,,1.0,,,1.0
ga_cadhan-ud-test,193,0,2,,,,,1.0,,,1.0
