Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,554,11,27.0,9.0,,2.0,,,,,,145,,,1.0,341,,,13,5.0
no_bokmaal-ud-test,1939,0,439,8,29.0,13.0,1.0,2.0,,,,,,112,,,1.0,260,,,8,5.0
no_bokmaal-ud-train,15696,0,3348,59,179.0,31.0,4.0,22.0,,1.0,,2.0,,917,2.0,,9.0,2006,,,84,32.0
sv_talbanken-ud-dev,504,0,122,4,12.0,1.0,,1.0,,,,1.0,,17,,,,82,,1.0,3,
sv_talbanken-ud-test,1219,0,247,7,19.0,2.0,,1.0,,1.0,,,,50,,,,160,,,6,1.0
sv_talbanken-ud-train,4303,0,823,18,49.0,3.0,1.0,1.0,,1.0,,,4.0,201,1.0,,,515,,3.0,25,1.0
no_nynorsk-ud-dev,1890,0,394,13,26.0,7.0,,1.0,,,,,,101,,,3.0,232,,,9,2.0
no_nynorsk-ud-test,1511,0,361,9,21.0,6.0,,1.0,,,,,,117,1.0,,2.0,191,,,11,2.0
no_nynorsk-ud-train,14174,0,3427,86,231.0,40.0,8.0,17.0,,,,,,1036,1.0,,8.0,1886,,,82,32.0
sv_lines-ud-dev,1032,0,263,4,,1.0,2.0,7.0,2.0,,,,,63,,,,175,,,3,6.0
sv_lines-ud-train,3176,0,757,14,4.0,4.0,,22.0,6.0,1.0,,8.0,1.0,179,,,2.0,494,1.0,4.0,7,10.0
sv_lines-ud-test,1035,0,253,1,4.0,1.0,,5.0,,,,2.0,1.0,55,,,2.0,170,,,8,4.0
sv_pud-ud-test,1000,0,217,5,11.0,,,2.0,,,,,,66,,,1.0,126,,2.0,4,
da_ddt-ud-train,4383,0,1008,17,75.0,27.0,,,3.0,,1.0,,,308,,11.0,3.0,552,2.0,,5,4.0
da_ddt-ud-test,565,0,114,5,5.0,6.0,,,,,,,,32,,1.0,1.0,62,,,1,1.0
da_ddt-ud-dev,564,0,132,3,10.0,3.0,,,,,,,,34,,1.0,,77,,,3,1.0
