Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,csubj,nmod,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,0,,,,,,,,,,,,,,
en_partut-ud-train,1781,0,40,12.0,3.0,1.0,,,1.0,,,8.0,,,,11.0,4.0
en_partut-ud-test,153,0,2,,,,,,,,,,,,,2.0,
no_nynorsk-ud-train,14174,0,1,,,,,,,,,,,,,1.0,
ga_twittirish-ud-dev,864,0,1,,,,,,,,,1.0,,,,,
en_atis-ud-test,586,0,1,,,,,,,1.0,,,,,,,
en_atis-ud-train,4274,0,14,,,,,,,8.0,1.0,4.0,,1.0,,,
en_atis-ud-dev,572,0,2,,,,,,,1.0,,1.0,,,,,
en_gum-ud-train,9521,0,203,19.0,19.0,,8.0,2.0,2.0,8.0,2.0,37.0,1.0,7.0,1.0,64.0,33.0
en_gum-ud-test,1285,0,35,5.0,8.0,,,1.0,,3.0,,10.0,,2.0,,,6.0
en_gum-ud-dev,1341,0,20,4.0,1.0,,,,,2.0,,5.0,,,,6.0,2.0
en_lines-ud-train,3176,0,28,,,2.0,,,,,1.0,25.0,,,,,
en_lines-ud-dev,1032,0,8,,,,,,,2.0,,6.0,,,,,
en_lines-ud-test,1035,0,6,,,,,,,2.0,,4.0,,,,,
en_ewt-ud-test,2077,0,27,1.0,4.0,,,1.0,,,,4.0,,,,11.0,6.0
en_ewt-ud-dev,2001,0,25,1.0,5.0,,1.0,,,,,9.0,,,,7.0,2.0
en_ewt-ud-train,12544,0,277,14.0,46.0,,20.0,5.0,5.0,10.0,,55.0,,12.0,,84.0,26.0
pcm_nsc-ud-dev,990,0,8,2.0,2.0,,,1.0,,,,,,,1.0,1.0,1.0
pcm_nsc-ud-train,7279,0,70,7.0,10.0,,9.0,6.0,,2.0,,3.0,,2.0,,24.0,7.0
pcm_nsc-ud-test,972,0,5,1.0,,,1.0,,,,,,,1.0,,2.0,
en_gentle-ud-test,1334,0,24,3.0,1.0,,,,,1.0,,7.0,,,,7.0,5.0
en_pud-ud-test,1000,0,18,1.0,3.0,,,,,2.0,,1.0,,,,10.0,1.0
