Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,ccomp,dep,discourse,iobj,list,nmod,obl,orphan,parataxis,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,83,,,,,,,,,17.0,65,1.0,,,,
sl_ssj-ud-dev,1250,0,85,,,1.0,,,,,,18.0,66,,,,,
sl_ssj-ud-train,10903,0,635,1.0,,6.0,1.0,,1.0,,1.0,141.0,470,11.0,1.0,,1.0,1.0
hr_set-ud-train,6914,0,41,1.0,,,,,,,,10.0,30,,,,,
hr_set-ud-test,1136,0,3,,,,,,,,,,3,,,,,
qpm_philotis-ud-train,980,0,16,,,,,,,,,,16,,,,,
qpm_philotis-ud-dev,635,0,9,,,,1.0,,,4.0,,1.0,3,,,,,
qpm_philotis-ud-test,635,0,7,,,,,,,,,,7,,,,,
sk_snk-ud-dev,1060,0,28,,,,,,,,,7.0,21,,,,,
sk_snk-ud-test,1061,0,32,,,,,1.0,,,,10.0,21,,,,,
sk_snk-ud-train,8483,0,132,,2.0,,,1.0,,,,22.0,107,,,,,
sr_set-ud-test,520,0,1,,,,,,,,,,1,,,,,
sr_set-ud-train,3328,0,8,,,,,,,,,1.0,7,,,,,
ro_art-ud-test,50,0,1,,,,,,,,,,1,,,,,
sl_sst-ud-train,4558,0,134,,,6.0,,,,,,23.0,97,2.0,1.0,1.0,4.0,
sl_sst-ud-test,1041,0,29,,,,,,,,,4.0,20,,,2.0,3.0,
sl_sst-ud-dev,505,0,45,,,,,,,,,11.0,32,,,,2.0,
aln_gps-ud-test,966,0,1,,,,,,,,,,1,,,,,
