Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,discourse,expl,flat,iobj,nmod,nsubj,obl,orphan,parataxis,punct,root,xcomp
uk_iu-ud-dev,673,0,8,,,,,,,,,,,2.0,,6,,,,,
uk_iu-ud-train,5521,0,63,,,2.0,,1.0,,,,1.0,,3.0,,54,,,1.0,1.0,
uk_iu-ud-test,898,0,10,,,,,1.0,,,,,,,,9,,,,,
orv_rnc-ud-dev,943,0,5,,,,,1.0,,,,,,,,4,,,,,
orv_rnc-ud-train,1868,0,34,,1.0,,,7.0,,,,,,3.0,,22,1.0,,,,
orv_rnc-ud-test,717,0,21,,,,,10.0,,,,,,1.0,,10,,,,,
orv_ruthenian-ud-test,390,0,9,,,,,,,,,,,,,9,,,,,
orv_ruthenian-ud-train,2789,0,90,,,,,2.0,,,,,,,,61,,,,27.0,
orv_ruthenian-ud-dev,344,0,4,,,,,,,,,,,,,3,,1.0,,,
cu_proiel-ud-train,18327,0,71,,2.0,,,3.0,1.0,,,,,1.0,,62,,,,2.0,
cu_proiel-ud-test,2096,0,3,,,,,,,,,,,,,3,,,,,
cu_proiel-ud-dev,2205,0,10,,1.0,1.0,,,,,,,,,1.0,7,,,,,
ru_taiga-ud-train,16045,0,213,,2.0,2.0,,1.0,,,,,,31.0,,167,,3.0,,6.0,1.0
ru_taiga-ud-dev,946,0,5,,,,,,,,,,,1.0,,4,,,,,
ru_taiga-ud-test,881,0,9,,,,,,,,,,,,,9,,,,,
ru_syntagrus-ud-train,69630,0,1721,,2.0,15.0,,1.0,2.0,,,,,228.0,,1404,4.0,28.0,,37.0,
ru_syntagrus-ud-dev,8906,0,228,,1.0,1.0,,,,,,,,42.0,,178,,2.0,,4.0,
ru_syntagrus-ud-test,8800,0,273,1.0,1.0,,,,1.0,,,,,41.0,,224,,1.0,,4.0,
orv_birchbark-ud-train,1045,0,2,,,,,,,,,,,,,2,,,,,
orv_birchbark-ud-dev,1062,0,6,,,,,,,,,,,1.0,,5,,,,,
orv_birchbark-ud-test,1007,0,4,,,,,,,,,,,,,4,,,,,
ru_poetry-ud-test,728,0,3,,,,,,,,,,,1.0,,2,,,,,
ru_poetry-ud-dev,789,0,3,,,,,,,,,,,,,2,,,,1.0,
ru_poetry-ud-train,3569,0,9,,,,,,,,,,,1.0,,8,,,,,
ru_pud-ud-test,1000,0,20,,,,,,,,,,,3.0,,17,,,,,
orv_torot-ud-test,2955,0,13,,1.0,2.0,,1.0,,,,,,,,7,1.0,,,,1.0
orv_torot-ud-dev,3061,0,12,,,1.0,1.0,1.0,,,,,,,,8,,,,1.0,
orv_torot-ud-train,20480,0,93,,5.0,2.0,2.0,4.0,,,,,,1.0,,71,5.0,,,3.0,
ru_gsd-ud-test,601,0,22,,,,,,,,,,,5.0,,17,,,,,
ru_gsd-ud-dev,579,0,20,,,,,,,,,,,6.0,,14,,,,,
ru_gsd-ud-train,3850,0,131,,,,,,,,,,,39.0,,85,3.0,4.0,,,
bg_btb-ud-train,8907,0,213,,,,,,,,,,18.0,51.0,,142,,,,2.0,
bg_btb-ud-test,1116,0,23,,,1.0,,,1.0,,1.0,,1.0,5.0,,14,,,,,
bg_btb-ud-dev,1115,0,35,,,1.0,,,,2.0,,,6.0,4.0,,22,,,,,
