Treebank,Number of Sentences,Failures,Total,nmod,obj,obl,root
en_partut-ud-train,1781,0,1,1.0,,,
de_hdt-ud-test,18459,0,10,9.0,,1.0,
de_hdt-ud-train,153035,0,52,46.0,,6.0,
de_hdt-ud-dev,18434,0,2,2.0,,,
ro_simonero-ud-train,3747,0,0,,,,
fr_gsd-ud-train,14450,0,3,3.0,,,
fr_rhapsodie-ud-dev,1081,0,1,,,,1.0
nl_lassysmall-ud-dev,1542,0,1,1.0,,,
nl_lassysmall-ud-train,13817,0,3,3.0,,,
pcm_nsc-ud-train,7279,0,1,,1.0,,
nl_alpino-ud-train,12289,0,2,1.0,,1.0,
fr_sequoia-ud-test,456,0,1,1.0,,,
fr_sequoia-ud-train,2231,0,4,4.0,,,
fr_sequoia-ud-dev,412,0,2,2.0,,,
