Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dislocated,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
es_gsd-ud-dev,1400,0,1,,,,,,,,1.0,,,,,,,,,,
es_gsd-ud-train,14187,0,13,,,,,,,,8.0,,4.0,1.0,,,,,,,
de_hdt-ud-test,18459,0,3892,2.0,,28.0,,1.0,,,,,2789.0,,,72.0,981.0,,2.0,13.0,4.0
de_hdt-ud-train,153035,0,34975,23.0,3.0,210.0,,12.0,4.0,,,,25204.0,,,830.0,8513.0,,6.0,101.0,69.0
de_hdt-ud-dev,18434,0,4100,1.0,,31.0,,1.0,1.0,,,,2897.0,,,82.0,1068.0,,1.0,9.0,9.0
cs_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,2.0,
de_pud-ud-test,1000,0,294,,,2.0,,,,,2.0,,188.0,,,,101.0,,,1.0,
de_lit-ud-test,1920,0,230,1.0,,11.0,,,,,,,130.0,,,,84.0,2.0,1.0,1.0,
de_gsd-ud-train,13814,0,3354,,,47.0,2.0,1.0,,,4.0,,2202.0,19.0,1.0,1.0,1054.0,1.0,,20.0,2.0
de_gsd-ud-dev,799,0,81,,,2.0,,,,,,,42.0,,,,37.0,,,,
de_gsd-ud-test,977,0,136,,,4.0,1.0,,,,,,86.0,,,,43.0,,,2.0,
qtd_sagt-ud-test,805,0,27,,,1.0,,,,1.0,,1.0,7.0,,,2.0,12.0,,2.0,1.0,
qtd_sagt-ud-dev,801,0,39,,,1.0,,,,,,2.0,19.0,,,2.0,13.0,,,2.0,
qtd_sagt-ud-train,578,0,24,,,,,,,,,,11.0,,,6.0,6.0,,,,1.0
cs_cac-ud-train,23478,0,0,,,,,,,,,,,,,,,,,,
