Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dep,mark,nmod,nsubj,obj,obl,parataxis,root,xcomp
is_pud-ud-test,1000,0,110,2.0,3.0,1.0,,1.0,1.0,,1.0,57.0,1.0,1.0,41,,1.0,
is_gc-ud-test,540,0,57,,,1.0,,,,,,,,,56,,,
is_gc-ud-train,3960,0,467,,,40.0,,,,,,,1.0,,424,,1.0,1.0
is_gc-ud-dev,500,0,59,,,1.0,,,,1.0,1.0,,,,56,,,
is_icepahc-ud-dev,4865,0,906,32.0,19.0,1.0,,20.0,,1.0,,1.0,,1.0,799,,32.0,
is_icepahc-ud-train,34007,0,3922,161.0,98.0,5.0,1.0,70.0,,1.0,,,3.0,2.0,3378,6.0,189.0,8.0
is_icepahc-ud-test,5157,0,861,28.0,17.0,,,14.0,,1.0,,,,1.0,771,,29.0,
is_modern-ud-dev,394,0,62,2.0,1.0,,,3.0,,,,,,,55,,1.0,
is_modern-ud-train,2703,0,394,15.0,5.0,,,9.0,,1.0,,1.0,1.0,,338,2.0,22.0,
is_modern-ud-test,438,0,80,1.0,1.0,,,1.0,,,,,,,71,1.0,5.0,
