Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,csubj,dep,dislocated,expl,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
hr_set-ud-train,6914,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
sr_set-ud-test,520,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,
af_afribooms-ud-train,1315,0,1190,,,,1.0,,,1.0,,5.0,,,1.0,,1018.0,8.0,,11.0,127.0,,,,16.0,2.0
af_afribooms-ud-dev,194,0,141,,,,,,,1.0,,1.0,,,2.0,,111.0,1.0,,2.0,18.0,,,,5.0,
af_afribooms-ud-test,425,0,313,,,,,,,,,2.0,,,,,261.0,,1.0,,45.0,,,,4.0,
nds_lsdc-ud-train,500,0,76,,,1.0,1.0,,,,,,,,,,31.0,,1.0,,41.0,,,,1.0,
nds_lsdc-ud-test,500,0,104,,1.0,,7.0,,,2.0,,,1.0,,,,41.0,,,,50.0,,1.0,,,1.0
nl_lassysmall-ud-test,1761,0,908,6.0,2.0,4.0,,2.0,7.0,1.0,1.0,,,,,1.0,777.0,3.0,,,92.0,,,,12.0,
nl_lassysmall-ud-dev,1542,0,795,,1.0,6.0,,2.0,,1.0,,,,,,1.0,665.0,4.0,1.0,4.0,94.0,,3.0,2.0,9.0,2.0
nl_lassysmall-ud-train,13817,0,7051,6.0,10.0,30.0,,17.0,,5.0,3.0,,,,,6.0,6147.0,13.0,2.0,14.0,682.0,,40.0,2.0,70.0,4.0
nl_alpino-ud-train,12289,0,5116,2.0,12.0,27.0,,9.0,,18.0,2.0,,,1.0,,5.0,4368.0,8.0,,7.0,575.0,,7.0,,69.0,6.0
nl_alpino-ud-test,596,0,355,,1.0,1.0,,1.0,,1.0,,,,,,,327.0,,,,21.0,,,,3.0,
nl_alpino-ud-dev,718,0,268,,1.0,1.0,,,,1.0,,,,,,,220.0,,,,41.0,1.0,,,3.0,
