Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
es_gsd-ud-test,426,0,303,,2.0,6.0,,,,,,,,,,,,,,,,,82.0,,,1.0,212.0,,,,,,
es_gsd-ud-dev,1400,0,1073,,4.0,8.0,5.0,,,,,,,,1.0,,,,,,,,315.0,,1.0,,737.0,,1.0,,,1.0,
es_gsd-ud-train,14187,0,10780,,79.0,108.0,41.0,3.0,,,,,,,1.0,,,,,5.0,,,3010.0,1.0,4.0,2.0,7509.0,,3.0,,,10.0,4.0
es_ancora-ud-train,14287,0,9278,28.0,71.0,115.0,163.0,7.0,22.0,12.0,96.0,70.0,9.0,9.0,4.0,,,12.0,50.0,16.0,,48.0,1995.0,23.0,58.0,28.0,6155.0,,3.0,42.0,,150.0,92.0
es_ancora-ud-test,1721,0,1104,2.0,11.0,16.0,18.0,1.0,1.0,2.0,8.0,5.0,1.0,2.0,1.0,,,5.0,7.0,3.0,,7.0,210.0,2.0,15.0,3.0,753.0,,,7.0,,19.0,5.0
es_ancora-ud-dev,1654,0,1086,2.0,12.0,15.0,21.0,,4.0,2.0,8.0,8.0,1.0,1.0,,,,3.0,3.0,3.0,,3.0,214.0,4.0,9.0,8.0,715.0,,,10.0,,26.0,14.0
no_nynorsk-ud-train,14174,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,386,,3.0,7.0,,,,,2.0,,,,,,,,,,,,111.0,,,3.0,241.0,,2.0,,,14.0,3.0
gl_treegal-ud-test,400,0,256,,1.0,3.0,2.0,1.0,,,4.0,,,,,,,,,1.0,,,68.0,1.0,,,164.0,,,,,6.0,5.0
gl_ctg-ud-dev,860,0,870,,,,4.0,,,,28.0,,,,7.0,,,,,,,,246.0,3.0,,3.0,560.0,,,,,19.0,
gl_ctg-ud-test,861,0,861,,,,1.0,,,,33.0,,,,5.0,,,,,,,,238.0,,,2.0,561.0,,,,,20.0,1.0
gl_ctg-ud-train,2272,0,2416,,,,16.0,,,,99.0,,,,8.0,,,,,1.0,,,684.0,5.0,,12.0,1554.0,,,,,37.0,
es_pud-ud-test,1000,0,676,,,,3.0,,,,1.0,,,,,,,,,,,,140.0,,,1.0,513.0,,1.0,,,1.0,16.0
it_valico-ud-test,398,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
fr_pud-ud-test,1000,0,317,,1.0,26.0,3.0,,,,,,,,,,,,,,,,59.0,,,,218.0,2.0,,,,8.0,
fr_fqb-ud-test,2289,0,218,,,1.0,,,,,,,,,1.0,,,,,,,,40.0,,,,174.0,,,,,1.0,1.0
br_keb-ud-test,884,0,2,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
fr_gsd-ud-test,416,0,117,,2.0,13.0,2.0,,,,1.0,,,,,,,,,,,,24.0,,,1.0,60.0,,1.0,,,13.0,
fr_gsd-ud-train,14450,0,5008,,36.0,320.0,30.0,17.0,,,18.0,,,1.0,,,,,,,,,1172.0,7.0,,7.0,3070.0,29.0,14.0,,,273.0,14.0
fr_gsd-ud-dev,1476,0,484,,2.0,38.0,4.0,2.0,,,1.0,,,,,,,,,,,,107.0,1.0,,,294.0,3.0,1.0,,,29.0,2.0
nds_lsdc-ud-test,500,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
en_gum-ud-train,9521,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
fr_rhapsodie-ud-train,1288,0,129,,2.0,15.0,2.0,1.0,,,2.0,,,,,4.0,,,,,,,17.0,,,5.0,59.0,,,,7.0,14.0,1.0
