Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,dep,nmod,nummod,obl,parataxis
no_bokmaal-ud-train,15696,0,2,,1.0,,,1.0,,,
de_hdt-ud-test,18459,0,2,,,,,2.0,,,
de_hdt-ud-train,153035,0,9,,,,,9.0,,,
de_hdt-ud-dev,18434,0,1,,,,,1.0,,,
pt_porttinari-ud-train,5893,0,1,,,,,1.0,,,
pt_porttinari-ud-dev,842,0,1,,,,,1.0,,,
no_nynorsk-ud-train,14174,0,2,1.0,,,,1.0,,,
ro_simonero-ud-test,491,0,2,,,,,1.0,,,1.0
ro_simonero-ud-train,3747,0,21,,,3.0,,13.0,1.0,4.0,
ro_simonero-ud-dev,443,0,6,,,,,1.0,4.0,1.0,
pt_petrogold-ud-train,7170,0,4,,,,,4.0,,,
pt_petrogold-ud-test,1039,0,14,,,,,14.0,,,
la_proiel-ud-train,16196,0,1,,,,,,,1.0,
pt_cintil-ud-test,3840,0,0,,,,,,,,
pt_cintil-ud-train,30720,0,1,,,,,,,1.0,
en_gum-ud-train,9521,0,6,,,,,3.0,,3.0,
en_gum-ud-test,1285,0,4,,,,,4.0,,,
en_gum-ud-dev,1341,0,2,,,,,2.0,,,
it_isdt-ud-dev,564,0,1,,,,,1.0,,,
en_ewt-ud-dev,2001,0,1,,,,,1.0,,,
en_ewt-ud-train,12544,0,8,,,,,6.0,,2.0,
nl_lassysmall-ud-train,13817,0,0,,,,,,,,
ro_rrt-ud-train,8043,0,1,,,,,1.0,,,
ca_ancora-ud-test,1846,0,1,,,,,1.0,,,
de_gsd-ud-train,13814,0,1,,,,,1.0,,,
cs_pdt-ud-test,10146,0,3,,,,2.0,1.0,,,
cs_pdt-ud-dev,9270,0,2,,,,,2.0,,,
cs_pdt-ud-train,68491,0,17,,,1.0,10.0,6.0,,,
nl_alpino-ud-train,12289,0,0,,,,,,,,
en_gentle-ud-test,1334,0,4,,,,,4.0,,,
