Acc,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:emph,advmod:mode,advmod:tmod,amod,amod:flat,appos,appos:trans,aux,aux:pass,case,case:acc,cc,ccomp,ccomp:obj,ccomp:pmod,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:preverb,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,dep:comp,det,det:numgov,det:nummod,det:poss,discourse,discourse:filler,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:npmod,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:npmod,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:parenth,parataxis:rep,parataxis:trans,punct,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.002,-0.000,-0.000,-0.000,-0.000,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.090,-0.000,0.004,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.052,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.067,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.004,-0.000,-0.000,-0.000,0.051,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.027,-0.000,-0.000,-0.000,0.006,-0.000,-0.000,0.524,-0.000,-0.000,-0.000,0.155,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.007,-0.000,0.004,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.004,0.000,0.000,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.055,0.000,0.005,0.000,0.000,0.000,0.051,0.008,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.055,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.024,0.000,0.006,0.000,0.022,0.003,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.001,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.039,0.000,0.000,0.001,0.005,0.000,0.003,0.431,0.000,0.000,0.000,0.101,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.008,0.000,0.005,0.000,5.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dat,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,amod:flat,appos,appos:trans,aux,aux:caus,aux:pass,case,case:loc,cc,ccomp,ccomp:relcl,clf,compound,compound:lvc,compound:name,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,dislocated:nsubj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:float,obl:goal,obl:instr,obl:lmod,obl:manner,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.004,-0.000,-0.000,-0.000,-0.000,0.006,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.082,-0.000,0.008,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.048,-0.000,-0.000,-0.000,-0.000,-0.000,0.053,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,0.003,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.270,-0.000,-0.000,-0.000,0.096,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.005,-0.000,-0.000,-0.000,0.002,-0.000,-0.000,0.047,0.362,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.003,-0.000,0.001,-0.000,-0.000,-0.000,0.009,-0.000,0.001,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.004,0.000,0.000,0.000,0.001,0.008,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.050,0.000,0.008,0.000,0.000,0.000,0.000,0.051,0.000,0.000,0.007,0.000,0.000,0.009,0.001,0.000,0.000,0.000,0.000,0.033,0.000,0.001,0.000,0.000,0.002,0.050,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.003,0.005,0.010,0.010,0.000,0.000,0.004,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.018,0.000,0.017,0.001,0.000,0.000,0.002,0.000,0.000,0.051,0.248,0.004,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.002,0.000,0.000,0.000,0.012,0.000,0.003,0.002,1.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nom,acl,acl:attr,acl:cleft,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:consec,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:deg,advmod:det,advmod:emph,advmod:eval,advmod:lmod,advmod:mmod,advmod:mode,advmod:tmod,amod,amod:att,amod:attlvc,amod:flat,appos,appos:trans,aux,aux:caus,aux:cnd,aux:nec,aux:pass,aux:q,case,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pmod,ccomp:pred,ccomp:rel,ccomp:relcl,ccomp:reported,ccomp:speech,clf,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,cop:own,csubj,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,dep:der,det,det:numgov,det:nummod,det:poss,discourse,discourse:filler,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,dislocated:subj,expl,expl:pv,expl:subj,fixed,flat,flat:foreign,flat:frac,flat:gov,flat:name,flat:num,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:attlvc,nmod:bahuv,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:subj,nmod:tmod,nsubj,nsubj:caus,nsubj:cleft,nsubj:cop,nsubj:lfoc,nsubj:lvc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:flat,nummod:gov,obj,obj:agent,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:goal,obl:grad,obl:lmod,obl:manner,obl:mcl,obl:mod,obl:pmod,obl:prep,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:parenth,parataxis:rep,parataxis:restart,parataxis:trans,punct,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:relcl,xcomp:result,
