Treebank,Number of Sentences,Failures,case,Total,dep:infl,nsubj,obl,amod,nmod:poss,ccomp,nmod,det:poss,conj,det,flat,obj,aux,root,csubj,appos,cop,xcomp,advcl,dep,acl,parataxis,iobj
hi_pud-ud-test,1000,0,256.0,256,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,,40,39.0,1.0,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,,9,,7.0,2.0,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,,6,,6.0,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,,53,,52.0,1.0,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,,33,,29.0,,3.0,1.0,,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,,25,,18.0,,2.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,,2670,,1978.0,6.0,146.0,,,19.0,,151.0,101.0,194.0,18.0,10.0,2.0,17.0,18.0,3.0,1.0,3.0,3.0,,,
eu_bdt-ud-test,1799,0,,873,,648.0,,58.0,,,4.0,,37.0,35.0,70.0,6.0,5.0,2.0,1.0,3.0,1.0,,,1.0,1.0,1.0,
eu_bdt-ud-dev,1798,0,,859,,637.0,1.0,46.0,,,5.0,,39.0,35.0,65.0,7.0,3.0,,7.0,9.0,2.0,,,,,1.0,2.0
gu_gujtb-ud-test,187,0,,6,,5.0,,,,,,,,,1.0,,,,,,,,,,,,
