Treebank,Number of Sentences,Failures,obl,xcomp,root,advcl,xcomp:ds,conj,Total,amod,parataxis,nmod,acl,obj,fixed,nmod:poss,cop,appos,ccomp,nsubj,acl:relcl,orphan,flat,csubj,det,dep
fi_ood-ud-test,2122,0,3.0,4.0,2.0,7.0,1.0,1.0,18,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,1.0,,,,,,1,,,,,,,,,,,,,,,,,
sms_giellagas-ud-train,20,0,,,,1.0,,,1,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,21.0,1.0,5.0,36.0,,8.0,91,5.0,2.0,12.0,1.0,,,,,,,,,,,,,
et_ewt-ud-test,913,0,3.0,1.0,,14.0,,1.0,28,4.0,,5.0,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,,2.0,2.0,4.0,,,9,1.0,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,1.0,,,,,,2,,,,,1.0,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,,,,,,,1,,,,,,1.0,,,,,,,,,,,
olo_kkpp-ud-train,19,0,,,,1.0,,,2,,,,,,,1.0,,,,,,,,,,
mdf_jr-ud-test,454,0,2.0,,,,,,3,,,1.0,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,12.0,23.0,9.0,57.0,15.0,9.0,129,,,,1.0,,,,1.0,1.0,1.0,,,,,,,
fi_tdt-ud-test,1555,0,2.0,4.0,,7.0,1.0,1.0,16,,1.0,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,3.0,,,4.0,1.0,1.0,9,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,5.0,1.0,1.0,,,,8,,,,1.0,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,7.0,,1.0,,,,11,,,3.0,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,1.0,,,,,,1,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,6.0,1.0,1.0,,,2.0,15,,,4.0,,,,,,,,1.0,,,,,,
fi_pud-ud-test,1000,0,2.0,,,2.0,,,4,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,18.0,,2.0,20.0,,5.0,64,7.0,1.0,9.0,1.0,,,,1.0,,,,,,,,,
et_edt-ud-train,24615,0,110.0,3.0,25.0,163.0,,49.0,490,64.0,5.0,59.0,6.0,,,,,,2.0,,2.0,1.0,1.0,,,
et_edt-ud-test,3214,0,16.0,2.0,,27.0,,1.0,62,1.0,1.0,11.0,1.0,,,,,,1.0,,,,,1.0,,
koi_uh-ud-test,94,0,2.0,1.0,,,,1.0,4,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,,,,7.0,,,7,,,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,,,,3.0,,,4,1.0,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,1.0,,,,,,1,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,1.0,,,1.0,,,2,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,,2.0,1.0,6.0,1.0,,21,,,5.0,1.0,,1.0,,,,4.0,,,,,,,
fi_ftb-ud-train,14981,0,,5.0,17.0,57.0,2.0,13.0,190,3.0,,45.0,2.0,,7.0,,,,35.0,,,,,1.0,2.0,1.0
fi_ftb-ud-test,1867,0,,,,6.0,,2.0,14,1.0,,2.0,,,1.0,,,,2.0,,,,,,,
ab_abnc-ud-test,263,0,2.0,,,,,,2,,,,,,,,,,,,,,,,,
