Treebank,Number of Sentences,Failures,obl,advmod:mode,obj,nmod:obl,Total,acl,conj,nsubj,dep:infl,appos,nmod,root,det,case,amod,compound:lvc,acl:relcl,dislocated,_,advcl,parataxis,vocative,dep,iobj,ccomp,orphan,compound,xcomp,reparandum,csubj,flat,aux,nummod,nsubj:outer,cop,advmod,discourse,fixed
hu_szeged-ud-dev,441,0,11.0,1.0,1.0,1.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,13.0,,,,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,26.0,,,,29,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,,,25.0,,239,,,35.0,168.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,,,4.0,,7,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,,,,,20,,,2.0,,,,,6.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,,,2.0,,13,,,1.0,,,,,1.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,1.0,,,,76,1.0,1.0,2.0,,,,,19.0,35.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,,,43.0,,62,,,17.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,18.0,,101.0,,350,1.0,14.0,125.0,,1.0,63.0,6.0,,,,,2.0,3.0,7.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
azz_itml-ud-test,1260,0,105.0,,107.0,,755,,100.0,134.0,,26.0,93.0,137.0,,,,,1.0,8.0,,14.0,13.0,1.0,,5.0,2.0,2.0,5.0,1.0,1.0,,,,,,,,,
eu_bdt-ud-train,5396,0,274.0,,3050.0,,10460,39.0,683.0,1747.0,,168.0,176.0,603.0,464.0,207.0,965.0,,,,,448.0,8.0,16.0,28.0,1.0,132.0,13.0,606.0,335.0,,115.0,220.0,81.0,9.0,2.0,29.0,13.0,2.0,26.0
eu_bdt-ud-test,1799,0,91.0,,1022.0,,3464,11.0,215.0,570.0,,42.0,64.0,208.0,167.0,59.0,323.0,,,,,169.0,1.0,7.0,6.0,1.0,54.0,,176.0,121.0,,49.0,68.0,21.0,2.0,1.0,7.0,4.0,,5.0
eu_bdt-ud-dev,1798,0,115.0,,1006.0,,3457,13.0,228.0,550.0,,46.0,55.0,208.0,166.0,74.0,325.0,,,1.0,,162.0,1.0,10.0,10.0,,49.0,1.0,159.0,109.0,,37.0,78.0,28.0,1.0,2.0,14.0,2.0,3.0,4.0
gu_gujtb-ud-test,187,0,,,2.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
