Treebank,Number of Sentences,Failures,iobj,case,obl,obj,expl,amod,det,conj,nmod,orphan,appos,root,flat:name,Total,advcl,parataxis,dislocated,mark,fixed,nummod,list,nsubj,ccomp,acl,compound:redup,csubj,xcomp,nmod:obl,nmod:att,compound:lvc,flat,compound,nmod:poss,cop,obl:arg,dep,expl:pv,reparandum,nsubj:pass,csubj:pass,obl:agent,det:poss,nmod:arg,amod:flat,det:nummod,parataxis:obj,obl:cmpr,acl:relcl,flat:foreign,flat:title,flat:abs,flat:repeat,advcl:ccomp,advcl:fin,obl:benef,acl:ptcp,acl:attr,nmod:appos,obl:goal,compound:name,advcl:caus,advcl:manner,obl:source,obl:tmod,acl:dpct,obl:soc,obl:manner,obl:lmod,obl:instr,xcomp:result,advcl:cond,discourse,nummod:gov,det:numgov,obl:float,aux:pass,obl:depict,advcl:abs,advcl:pred,obl:cmp,advcl:cmp,advmod,compound:prt,aux,vocative,nmod:tmod,clf,_,expl:poss,obl:pmod,expl:impers,expl:pass,nsubj:outer,nmod:npmod,case:loc,flat:range,advcl:tcl,orphan:missing,dislocated:obl,dislocated:nsubj,nmod:comp,xcomp:pred,iobj:agent,compound:svc,cc,parataxis:discourse,conj:expl,advcl:relcl,aux:caus,obl:smod,nsubj:nc,nmod:cau,ccomp:relcl,appos:trans,nmod:flat,nummod:entity
sl_ssj-ud-test,1282,0,139.0,56.0,42.0,59.0,23.0,58.0,10.0,14.0,26.0,1.0,4.0,1.0,2.0,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,120.0,46.0,32.0,77.0,19.0,52.0,15.0,17.0,39.0,2.0,4.0,,4.0,428,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,1233.0,412.0,338.0,510.0,234.0,398.0,129.0,149.0,214.0,18.0,18.0,5.0,37.0,3733,,8.0,1.0,8.0,9.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-train,3185,0,1125.0,,48.0,,,7.0,71.0,48.0,19.0,20.0,23.0,6.0,2.0,1390,3.0,1.0,,,,4.0,,,6.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,184.0,,3.0,,,3.0,11.0,2.0,2.0,1.0,3.0,2.0,,214,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,202.0,,4.0,,,3.0,11.0,18.0,2.0,3.0,1.0,,,246,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,35.0,,54.0,,,,,1.0,,,1.0,,2.0,98,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,14.0,,46.0,1.0,,,,3.0,,1.0,3.0,,1.0,73,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,56.0,,79.0,,,,1.0,4.0,,1.0,,1.0,2.0,151,1.0,1.0,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,20.0,3.0,,,,,,,1.0,,,,,26,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,123.0,2.0,240.0,126.0,,4.0,,30.0,41.0,,3.0,25.0,,727,24.0,,,,,,,,36.0,8.0,3.0,2.0,16.0,,,8.0,18.0,4.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-test,426,0,,,,,,,1.0,,1.0,,,,,62,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-dev,1400,0,,,,5.0,1.0,,1.0,,1.0,,1.0,,,112,,,,,,,,2.0,,,,,,,,,1.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-train,14187,0,,,,26.0,3.0,,18.0,,2.0,,,,,1245,,,,,,,,1.0,,,,,,,,,5.0,2.0,,,1186.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-test,18459,0,,19098.0,2369.0,423.0,,1959.0,13970.0,407.0,1665.0,,47.0,10.0,105.0,40745,1.0,,,,,2.0,,3.0,,1.0,,,22.0,,,,,,,,591.0,,70.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,,164224.0,18852.0,3573.0,,14553.0,122835.0,3492.0,15067.0,,377.0,122.0,716.0,349756,8.0,5.0,,,,5.0,,48.0,12.0,23.0,,,242.0,,,,,,,,4998.0,,582.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-dev,18434,0,,18799.0,6213.0,845.0,,2769.0,13988.0,468.0,4509.0,,45.0,56.0,88.0,48391,6.0,2.0,,,,,,5.0,4.0,9.0,,,26.0,,,,,,,,499.0,,53.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
