Treebank,Number of Sentences,Failures,advmod:mode,nmod:obl,obl,nmod,conj,nsubj,Total,root,amod:att,nmod:att,parataxis,orphan,det,xcomp,acl,amod,nummod,advcl,nsubj:cop,xcomp:ds,appos,case,acl:relcl,csubj:cop,ccomp,cop,flat,flat:name,aux,xcomp:obj,advmod,xcomp:pred,compound,dep,fixed
hu_szeged-ud-dev,441,0,42.0,1.0,46.0,2.0,1.0,2.0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,50.0,,35.0,2.0,,,90,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,119.0,,52.0,2.0,3.0,1.0,181,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,,,80.0,1.0,2.0,1.0,133,9.0,,,6.0,4.0,7.0,4.0,4.0,4.0,2.0,7.0,1.0,1.0,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,,,,,4.0,,26,3.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,,,51.0,4.0,6.0,,73,1.0,,,,,,8.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,,,12.0,1.0,1.0,,27,,,,1.0,,,11.0,1.0,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,,,6.0,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,,,,,11,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,,,6.0,,,,16,5.0,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,,,1.0,,,,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,,,3.0,,,,5,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,,,1029.0,134.0,91.0,,1983,121.0,,,1.0,9.0,71.0,60.0,78.0,149.0,14.0,93.0,,8.0,6.0,,19.0,2.0,15.0,2.0,80.0,1.0,,,,,,,
fi_tdt-ud-test,1555,0,,,125.0,26.0,10.0,,261,11.0,,,,2.0,4.0,4.0,16.0,16.0,1.0,11.0,,1.0,3.0,,3.0,1.0,1.0,,25.0,1.0,,,,,,,
fi_tdt-ud-dev,1364,0,,,102.0,13.0,8.0,,214,10.0,,,,1.0,11.0,9.0,7.0,16.0,,15.0,,1.0,1.0,,5.0,,,,15.0,,,,,,,,
fi_pud-ud-test,1000,0,,,162.0,19.0,14.0,1.0,281,11.0,,,,3.0,13.0,7.0,3.0,18.0,1.0,8.0,,11.0,,,4.0,,3.0,,3.0,,,,,,,,
et_edt-ud-dev,3128,0,,,70.0,8.0,5.0,,111,3.0,,,,,,23.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
et_edt-ud-train,24615,0,,,416.0,49.0,49.0,,637,3.0,,,2.0,3.0,,105.0,2.0,2.0,,5.0,,,,,,,1.0,,,,,,,,,,
et_edt-ud-test,3214,0,,,90.0,4.0,4.0,,112,1.0,,,1.0,1.0,,7.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,
sme_giella-ud-train,2257,0,,,14.0,,7.0,,210,45.0,,,4.0,,,56.0,1.0,,2.0,9.0,,,,,4.0,,8.0,,,,1.0,54.0,4.0,1.0,,,
sme_giella-ud-test,865,0,,,8.0,,2.0,,94,15.0,,,6.0,,,32.0,,,,6.0,,,,,2.0,,4.0,1.0,,,1.0,16.0,,1.0,,,
ka_glc-ud-test,151,0,,,7.0,,,,27,,,,,,,,,13.0,,1.0,,,,6.0,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,,,18.0,1.0,3.0,,38,7.0,,,,,2.0,,1.0,4.0,,2.0,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,,,16.0,1.0,3.0,,46,1.0,,,,,,17.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,1.0,,
eu_bdt-ud-test,1799,0,,,5.0,2.0,2.0,,16,,,,,,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,,,3.0,,,,14,1.0,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,,,,120.0,10.0,,193,4.0,,,,,13.0,,4.0,15.0,6.0,19.0,,,,,,,,1.0,,,,,,,,1.0,
fi_ftb-ud-train,14981,0,,,,762.0,42.0,,1130,20.0,,,,,71.0,,15.0,104.0,6.0,103.0,,,,,,,1.0,1.0,,,,,,,,1.0,4.0
fi_ftb-ud-test,1867,0,,,,108.0,6.0,,151,1.0,,,,,8.0,,1.0,13.0,,14.0,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,,,3.0,,,,5,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
