Treebank,Number of Sentences,Failures,obl,flat:name,appos,conj,compound:preverb,nmod:obl,Total,nmod,det,orphan,amod,root,advcl,acl,dep:infl,advmod,nsubj,xcomp,parataxis,nummod,flat,dep,fixed,obj,case,acl:relcl,compound:prt,xcomp:ds,compound,ccomp,csubj,cop,expl,dislocated,iobj
hu_szeged-ud-dev,441,0,53.0,3.0,1.0,6.0,4.0,1.0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,28.0,3.0,,2.0,,,34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,57.0,3.0,,5.0,2.0,2.0,70,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,131.0,,2.0,10.0,,,193,22.0,7.0,5.0,10.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,1.0,,,,,,32,,,,,,,,26.0,4.0,1.0,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,4.0,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,512.0,,4.0,22.0,,,709,46.0,30.0,1.0,40.0,28.0,3.0,7.0,,,,1.0,3.0,3.0,7.0,1.0,1.0,,,,,,,,,,,,
et_ewt-ud-test,913,0,109.0,,,10.0,,,158,5.0,8.0,,14.0,1.0,1.0,1.0,,,,,1.0,2.0,6.0,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,103.0,,1.0,5.0,,,142,9.0,10.0,,6.0,5.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,1.0,,,,,,4,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,,,,,26,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,
olo_kkpp-ud-test,106,0,11.0,,,,,,14,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,2.0,,,,,,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,15.0,,,,,,18,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,1119.0,26.0,10.0,139.0,,,1909,255.0,88.0,12.0,163.0,20.0,3.0,54.0,,,,5.0,,6.0,,,,1.0,3.0,1.0,1.0,3.0,,,,,,,
fi_tdt-ud-test,1555,0,147.0,6.0,,26.0,,,253,31.0,15.0,,12.0,,2.0,12.0,,,,1.0,,,,,,,,,,1.0,,,,,,,
fi_tdt-ud-dev,1364,0,171.0,1.0,1.0,10.0,,,236,21.0,12.0,,9.0,3.0,,6.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
tpn_tudet-ud-test,581,0,6.0,,2.0,,,,11,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,111.0,14.0,3.0,8.0,,,179,22.0,3.0,,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,439.0,,1.0,28.0,,,628,46.0,17.0,1.0,65.0,4.0,2.0,7.0,,,,,1.0,3.0,14.0,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,3641.0,,28.0,270.0,,,5358,564.0,160.0,11.0,447.0,16.0,13.0,98.0,,,1.0,1.0,15.0,31.0,53.0,,,,,1.0,,,2.0,5.0,1.0,,,,
et_edt-ud-test,3214,0,460.0,,,31.0,,,706,96.0,25.0,1.0,52.0,5.0,,16.0,,,,,1.0,7.0,12.0,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,2.0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,2.0,,,,,,3,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
gn_oldtudet-ud-test,59,0,2.0,,,,,,3,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
eu_bdt-ud-train,5396,0,341.0,,2.0,11.0,,,514,12.0,8.0,2.0,17.0,,48.0,,,1.0,1.0,1.0,,,3.0,3.0,,2.0,59.0,,,,2.0,,,1.0,,,
eu_bdt-ud-test,1799,0,110.0,,1.0,1.0,,,169,,5.0,,3.0,1.0,24.0,,,,,1.0,,,1.0,1.0,,1.0,19.0,,,,,,,1.0,,,
eu_bdt-ud-dev,1798,0,111.0,,,3.0,,,181,7.0,10.0,,4.0,1.0,19.0,,,,,1.0,,,1.0,,,1.0,20.0,,,,,,,3.0,,,
fi_ftb-ud-dev,1875,0,,,,5.0,,,193,150.0,9.0,,19.0,4.0,1.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,,,,63.0,,,1470,1128.0,57.0,,110.0,22.0,8.0,29.0,,,4.0,,,19.0,14.0,2.0,2.0,1.0,,,5.0,,,,,,6.0,,
fi_ftb-ud-test,1867,0,,,,4.0,,,184,141.0,9.0,,17.0,2.0,1.0,2.0,,,,,,2.0,4.0,1.0,,,,,1.0,,,,,,,,
eme_tudet-ud-test,913,0,17.0,,,,,,22,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,
aqz_tudet-ud-test,343,0,9.0,,,,,,23,1.0,,,,2.0,,,,,4.0,,2.0,,,,,2.0,2.0,,,,,,,,,,1.0
gu_gujtb-ud-test,187,0,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
