Treebank,Number of Sentences,Failures,obl,conj,Total,advmod,nmod:poss,mark,advcl,amod,root,parataxis,fixed,obj,compound:lvc,appos,xcomp,nsubj,obl:tmod,csubj,compound,advcl:tcl,advmod:tmod,nmod,case,obl:freq,compound:smixut,nummod,dep,clf,compound:redup,flat,acl,ccomp,nsubj:outer,iobj,list
hu_szeged-ud-dev,441,0,8.0,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,3.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,2.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,,1.0,107,84.0,4.0,5.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,,,96,69.0,9.0,1.0,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,,14.0,734,540.0,47.0,17.0,46.0,59.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,2.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_tuecl-ud-test,100,0,,,25,,,,3.0,,1.0,2.0,,8.0,,,,1.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,,,3,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,10,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,
nyq_aha-ud-test,10,0,,,3,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,,,5,,,,,,1.0,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,
mdf_jr-ud-train,20,0,,,1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,3.0,1.0,7,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,2.0,,7,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
kfm_aha-ud-test,10,0,,,3,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soj_aha-ud-test,8,0,,,3,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he_htb-ud-train,5168,0,4.0,,31,,,5.0,,,,1.0,1.0,,,6.0,,,,,,,,2.0,,,3.0,8.0,1.0,,,,,,,,
lzh_kyoto-ud-dev,6102,0,,54.0,709,,,,1.0,1.0,13.0,,,72.0,,,,29.0,291.0,,,,,121.0,,,,,,123.0,2.0,1.0,1.0,,,,
lzh_kyoto-ud-train,74609,0,,270.0,7688,,,,8.0,14.0,368.0,5.0,,857.0,,,1.0,417.0,3497.0,4.0,8.0,,,1562.0,,,,,,560.0,23.0,37.0,7.0,4.0,28.0,3.0,15.0
lzh_kyoto-ud-test,5528,0,,13.0,453,,,,2.0,1.0,13.0,1.0,,43.0,,,,18.0,254.0,,,,,91.0,,,,,,14.0,,2.0,,,1.0,,
gu_gujtb-ud-test,187,0,1.0,,4,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
