Treebank,Number of Sentences,Failures,root,conj,obj,amod,orphan,xcomp,nmod,acl:relcl,nsubj,nummod,parataxis,appos,obl,nsubj:cop,ccomp,det,advcl,acl,discourse,compound:nn,fixed,dislocated,flat,flat:name,Total,dep,csubj,compound,vocative,advmod,flat:foreign,_,xcomp:ds,cop,compound:prt,nmod:gobj,csubj:cop,iobj,nsubj:outer,aux,expl,mark
fi_ood-ud-test,2122,0,157.0,170.0,561.0,184.0,8.0,17.0,37.0,7.0,97.0,3.0,23.0,7.0,92.0,84.0,9.0,54.0,34.0,17.0,1.0,4.0,3.0,1.0,13.0,1.0,1584,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,5.0,,18.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,98.0,223.0,2194.0,317.0,7.0,2.0,76.0,1.0,267.0,31.0,14.0,7.0,283.0,320.0,7.0,261.0,27.0,52.0,2.0,,,,23.0,,4234,2.0,1.0,16.0,2.0,1.0,,,,,,,,,,,,
et_ewt-ud-test,913,0,19.0,31.0,397.0,65.0,,,8.0,,51.0,5.0,1.0,,38.0,53.0,,42.0,6.0,10.0,,,,,,,728,,,2.0,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,20.0,25.0,290.0,50.0,,1.0,8.0,1.0,38.0,,2.0,,22.0,48.0,2.0,38.0,4.0,2.0,,,,,2.0,,555,,,2.0,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,1.0,16.0,57.0,14.0,3.0,,4.0,,5.0,,4.0,1.0,9.0,4.0,,1.0,6.0,,,,,,,,125,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,7,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,,9.0,49.0,9.0,,,3.0,1.0,5.0,1.0,,,4.0,8.0,,,,,,,,,1.0,,90,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,738.0,1043.0,5081.0,1497.0,23.0,98.0,457.0,71.0,600.0,99.0,30.0,102.0,602.0,544.0,107.0,485.0,288.0,396.0,3.0,2.0,2.0,1.0,307.0,36.0,12637,,1.0,5.0,,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,,,,,
fi_tdt-ud-test,1555,0,100.0,179.0,697.0,179.0,2.0,15.0,56.0,18.0,67.0,8.0,3.0,13.0,56.0,70.0,22.0,67.0,41.0,57.0,,,2.0,,43.0,8.0,1705,,,1.0,,,,,1.0,,,,,,,,,
fi_tdt-ud-dev,1364,0,89.0,120.0,530.0,155.0,2.0,19.0,48.0,4.0,60.0,17.0,2.0,9.0,75.0,76.0,12.0,76.0,33.0,41.0,,1.0,,,28.0,4.0,1404,,,,,,2.0,,1.0,,,,,,,,,
ru_taiga-ud-train,16045,0,1.0,2.0,8.0,,,,,,10.0,,,,7.0,,,,,,,,14.0,,,,42,,,,,,,,,,,,,,,,,
ru_taiga-ud-dev,946,0,,,,,,,,,,,,,,,,,,,,,3.0,,,,3,,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,,,,,,,,,,,,,,,,,,,,,2.0,,,,2,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,59.0,85.0,496.0,172.0,,5.0,39.0,12.0,42.0,14.0,5.0,7.0,63.0,54.0,7.0,33.0,18.0,25.0,,,1.0,,21.0,6.0,1167,,,1.0,,,,,1.0,,,,1.0,,,,,
et_edt-ud-dev,3128,0,34.0,183.0,1376.0,319.0,4.0,,42.0,4.0,164.0,28.0,12.0,17.0,183.0,154.0,9.0,117.0,15.0,64.0,,,,,10.0,,2750,,,14.0,,,,,,,,,1.0,,,,,
et_edt-ud-train,24615,0,311.0,1437.0,11344.0,2603.0,56.0,2.0,393.0,17.0,1199.0,274.0,95.0,89.0,1505.0,1087.0,44.0,753.0,138.0,455.0,1.0,,,,77.0,,21903,,1.0,20.0,,,,,,,,,2.0,,,,,
et_edt-ud-test,3214,0,44.0,215.0,1672.0,351.0,7.0,,41.0,1.0,139.0,37.0,21.0,20.0,193.0,126.0,5.0,127.0,19.0,93.0,,,,,12.0,,3144,1.0,,20.0,,,,,,,,,,,,,,
