Treebank,Number of Sentences,Failures,obl,det,nmod:obl,Total,conj,appos,parataxis,flat:name,orphan,nmod,obj,amod,root,acl,ccomp,acl:relcl,xcomp,nmod:gobj,csubj,advcl,compound,flat,nummod,case,obl:lmod,advcl:tcl,advmod:lmod,obl:tmod,advmod:mmod,advmod,flat:foreign,xcomp:ds,fixed,nsubj,cop,advmod:tmod,nmod:poss,obl:cmp,mark,nsubj:cop,dep,nmod:lmod,discourse,expl,csubj:cop
hu_szeged-ud-dev,441,0,37.0,2.0,1.0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,35.0,,2.0,40,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,63.0,3.0,7.0,78,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,167.0,8.0,,336,26.0,2.0,5.0,,13.0,68.0,3.0,28.0,8.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,594.0,68.0,,1014,54.0,1.0,4.0,,2.0,117.0,1.0,72.0,47.0,25.0,4.0,,5.0,,1.0,8.0,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,116.0,10.0,,198,23.0,,,,2.0,25.0,,4.0,8.0,4.0,,,1.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,93.0,7.0,,161,13.0,,,,2.0,25.0,,8.0,9.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,,26,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,21.0,,,29,3.0,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,2.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,3.0,,,57,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,1.0,,1.0,,3.0,22.0,5.0,7.0,6.0,1.0,2.0,,,,,,,,,,,,,,,
mdf_jr-ud-train,20,0,,,,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,4.0,,,6,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,1894.0,155.0,,4221,304.0,12.0,4.0,18.0,16.0,1010.0,3.0,457.0,43.0,202.0,9.0,4.0,17.0,,,15.0,4.0,3.0,29.0,,,,,,,,2.0,17.0,1.0,1.0,1.0,,,,,,,,,,
fi_tdt-ud-test,1555,0,256.0,20.0,,531,35.0,,,2.0,,123.0,1.0,39.0,9.0,27.0,1.0,1.0,5.0,,,4.0,1.0,,4.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,221.0,14.0,,487,43.0,2.0,,2.0,,108.0,,54.0,7.0,26.0,2.0,,2.0,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,
myv_jr-ud-test,921,0,102.0,,,186,8.0,1.0,,,,1.0,,,1.0,,1.0,,,,,15.0,,,,10.0,11.0,,4.0,6.0,4.0,21.0,,,,,,1.0,,,,,,,,,
myv_jr-ud-train,1217,0,70.0,,,162,,,,,,2.0,,,3.0,,,,,,,7.0,,,,12.0,29.0,4.0,,20.0,,10.0,,,,,,5.0,,,,,,,,,
kpv_ikdp-ud-test,214,0,6.0,,,24,3.0,,,,,2.0,,,1.0,1.0,,,,,,1.0,,,,3.0,2.0,,1.0,,,1.0,,,,,,,2.0,1.0,,,,,,,
kpv_lattice-ud-test,643,0,37.0,,,118,3.0,1.0,,,,8.0,,,5.0,,,,,,,,,,,27.0,21.0,,3.0,1.0,,,,,,1.0,,2.0,3.0,5.0,1.0,,,,,,
kpv_lattice-ud-train,20,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,153.0,15.0,,410,29.0,2.0,1.0,5.0,,125.0,1.0,43.0,,21.0,,1.0,1.0,,,3.0,1.0,,5.0,,,,,,,,,4.0,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,391.0,29.0,,746,48.0,7.0,,,,150.0,,85.0,4.0,11.0,2.0,1.0,6.0,,,,,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,3179.0,241.0,,5800,305.0,28.0,16.0,,14.0,1092.0,,574.0,59.0,115.0,8.0,2.0,23.0,,,28.0,3.0,21.0,89.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,
et_edt-ud-test,3214,0,444.0,40.0,,859,66.0,3.0,5.0,,2.0,172.0,,85.0,7.0,20.0,2.0,,2.0,,,2.0,,3.0,5.0,,,,,,,,,,,,,,,,,,1.0,,,,
wbp_ufal-ud-test,55,0,2.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-train,34,0,,,,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,2.0,,,7,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,1.0,,,
krl_kkpp-ud-test,228,0,25.0,,,38,8.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
fi_ftb-ud-dev,1875,0,,16.0,,318,16.0,,,,,204.0,1.0,26.0,7.0,4.0,,,1.0,,,2.0,,,3.0,,,,,,,,,4.0,,22.0,,,,,,2.0,1.0,,,9.0,
fi_ftb-ud-train,14981,0,,135.0,,2797,128.0,,,,,1780.0,31.0,234.0,59.0,61.0,2.0,,15.0,,,12.0,,9.0,33.0,,,,,,,,,20.0,4.0,168.0,1.0,,,,2.0,27.0,1.0,,,73.0,2.0
fi_ftb-ud-test,1867,0,,15.0,,344,17.0,,,,,232.0,2.0,23.0,2.0,12.0,1.0,,1.0,,,1.0,,3.0,2.0,,,,,,,,,1.0,,20.0,1.0,,,,,1.0,,,,9.0,1.0
