Treebank,Number of Sentences,Failures,obl,flat:name,obl:lvc,conj,compound:preverb,nmod:obl,nmod:att,Total,appos,det,xcomp,root,amod,acl,xcomp:ds,cop,orphan,parataxis,nmod,discourse,nummod,cop:own,obj,ccomp,obl:tmod,obl:lmod,advmod:lmod,case,obl:agent,vocative,nsubj,reparandum,aux,advcl,_,acl:relcl,csubj:cop,csubj,advmod:cau,obl:cmp,advcl:tcl,advmod:tmod,advmod,flat:foreign,compound:prt,compound,flat,fixed,mark,nsubj:cop,advmod:eval,nmod:lmod,advcl:lcl,nmod:gobj,dep,expl
hu_szeged-ud-dev,441,0,33.0,1.0,3.0,1.0,2.0,1.0,1.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,31.0,1.0,5.0,,1.0,3.0,,42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,72.0,2.0,1.0,1.0,2.0,4.0,,84,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,250.0,,,27.0,,,,461,1.0,16.0,69.0,9.0,29.0,10.0,9.0,4.0,8.0,3.0,20.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,9.0,,,1.0,,,,52,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,1.0,14.0,7.0,8.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-train,20,0,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,113.0,,,70.0,,,,685,,10.0,267.0,73.0,12.0,13.0,,52.0,4.0,7.0,9.0,,,,,10.0,,,,,,,,,6.0,22.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,25.0,,,14.0,,,,128,,4.0,35.0,12.0,1.0,2.0,,11.0,1.0,1.0,5.0,,,,,5.0,,,,,,,,,,4.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,9.0,,,11.0,,,,99,,2.0,29.0,17.0,2.0,7.0,,6.0,,2.0,1.0,,,,,5.0,,,,,,,,,1.0,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,,,,,,9,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,,,,,,,,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,4.0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,4.0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,26.0,,,2.0,,,,47,,,7.0,1.0,4.0,,,,,,1.0,,,,,3.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,8.0,,,,,,,63,,,,,,,,,,,3.0,,,,,,1.0,26.0,3.0,13.0,,,,,,1.0,,,,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,
