Treebank,Number of Sentences,Failures,obl,nmod:obl,amod:att,conj,Total,compound:preverb,orphan,xcomp,xcomp:ds,root,advcl,nmod,compound:prt,amod,acl,parataxis,det,ccomp,nummod,appos,cop,acl:relcl,flat,case,obl:lmod,aux,flat:name,advmod,mark,csubj,advmod:lmod,advmod:deg,nsubj,dep,obj,csubj:cop,expl
hu_szeged-ud-dev,441,0,8.0,2.0,1.0,1.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,12.0,1.0,,,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,25.0,,1.0,,28,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,29.0,,,2.0,96,,8.0,17.0,16.0,2.0,11.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,140.0,,,37.0,525,,2.0,223.0,,36.0,12.0,14.0,,23.0,8.0,7.0,14.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,28.0,,,3.0,106,,1.0,42.0,,8.0,2.0,5.0,,8.0,1.0,2.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,16.0,,,5.0,75,,,40.0,,4.0,,1.0,,4.0,,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,,,,,18,,,,,,,1.0,,,,,,1.0,,,,,,16.0,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,7.0,,,,13,,3.0,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,8.0,,,2.0,29,,,12.0,,2.0,,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
vep_vwt-ud-test,103,0,1.0,,,,3,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,296.0,,,53.0,1208,,7.0,289.0,190.0,8.0,115.0,112.0,1.0,83.0,8.0,1.0,4.0,17.0,9.0,6.0,3.0,1.0,,,,4.0,1.0,,,,,,,,,,
fi_tdt-ud-test,1555,0,26.0,,,14.0,139,,1.0,25.0,23.0,1.0,10.0,16.0,,14.0,4.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,25.0,,,7.0,111,,,28.0,16.0,1.0,6.0,14.0,,9.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,11.0,,,2.0,58,,,21.0,,1.0,4.0,,,,3.0,,,,,1.0,,,,,,,,13.0,2.0,,,,,,,,
myv_jr-ud-train,1217,0,5.0,,,3.0,56,,,19.0,,5.0,6.0,,,1.0,1.0,,,,,,,1.0,,,,,,11.0,3.0,1.0,,,,,,,
kpv_ikdp-ud-test,214,0,,,,,5,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,,
kpv_lattice-ud-test,643,0,,,,,9,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,5.0,1.0,,,,,
tpn_tudet-ud-test,581,0,43.0,,,,61,,,1.0,,4.0,3.0,4.0,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
fi_pud-ud-test,1000,0,11.0,,,6.0,96,,,20.0,24.0,,17.0,4.0,,10.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,
et_edt-ud-dev,3128,0,110.0,,,34.0,476,,1.0,180.0,,49.0,4.0,22.0,,49.0,5.0,5.0,9.0,1.0,1.0,,,4.0,1.0,,,,,,,,,,,,,1.0,
et_edt-ud-train,24615,0,983.0,,,228.0,3976,,27.0,1437.0,,342.0,67.0,227.0,,376.0,64.0,24.0,92.0,26.0,30.0,3.0,,42.0,3.0,,,,,,,4.0,,,,,,1.0,
et_edt-ud-test,3214,0,163.0,,,28.0,553,,,203.0,,30.0,15.0,28.0,,49.0,9.0,2.0,12.0,5.0,3.0,,,6.0,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,9.0,,,,12,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,,,,4.0,108,,,1.0,,1.0,19.0,64.0,,8.0,1.0,,1.0,4.0,3.0,,,,,,,,,,,,,,,1.0,,,1.0
fi_ftb-ud-train,14981,0,,,,39.0,940,,,2.0,,7.0,208.0,555.0,9.0,51.0,23.0,,4.0,30.0,5.0,,3.0,,,,,1.0,,,,,,,,1.0,2.0,,
fi_ftb-ud-test,1867,0,,,,6.0,108,,,,,,27.0,62.0,,7.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,
eme_tudet-ud-test,913,0,20.0,,,,46,,,,,13.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,11.0,,
aqz_tudet-ud-test,343,0,,,,4.0,18,,,,,13.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
