Treebank,Number of Sentences,Failures,nmod,obl,root,Total,det,conj,obj,appos,obl:tmod,ccomp,advcl,acl:relcl,orphan,acl,parataxis,csubj:cop,flat,csubj,amod,case,nsubj,flat:name,nummod,aux,cop,dep,compound,fixed,obl:arg
es_gsd-ud-train,14187,0,2.0,5.0,1.0,8,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,2.0,1.0,,5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,1.0,4.0,1.0,8,,,2.0,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-test,1721,0,,3.0,,4,,,,1.0,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,,2.0,,3,,,1.0,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,,6.0,,11,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,90.0,485.0,36.0,724,,74.0,,3.0,,12.0,7.0,4.0,3.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,
et_ewt-ud-test,913,0,22.0,91.0,5.0,137,,10.0,,,,,,1.0,1.0,,1.0,,5.0,1.0,,,,,,,,,,,
et_ewt-ud-dev,833,0,11.0,73.0,7.0,100,,4.0,1.0,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,
ml_ufal-ud-test,218,0,2.0,14.0,,17,,,,,,,,,,,,,,,,1.0,,,,,,,,,
apu_ufpa-ud-test,161,0,,2.0,,4,,2.0,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,,43,,,,,,,,,,,,,,,,43.0,,,,,,,,,
mr_ufal-ud-train,373,0,,3.0,,4,,,1.0,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,,3.0,,5,,2.0,,,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,1.0,6.0,,9,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
es_pud-ud-test,1000,0,,,,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,14.0,13.0,,38,3.0,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,
fi_tdt-ud-test,1555,0,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,,4.0,,8,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,
myv_jr-ud-test,921,0,,2.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,1.0,1.0,,3,,,,,,,,,,1.0,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,,5.0,,7,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
kpv_lattice-ud-test,643,0,2.0,24.0,,30,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
fi_pud-ud-test,1000,0,3.0,,,4,,,,,,,,,,,,,,,,,,,1.0,,,,,,
et_edt-ud-dev,3128,0,122.0,329.0,18.0,558,,55.0,,5.0,,3.0,7.0,,2.0,1.0,4.0,2.0,8.0,1.0,1.0,,,,,,,,,,
et_edt-ud-train,24615,0,951.0,2531.0,130.0,4218,1.0,365.0,,27.0,,30.0,41.0,6.0,16.0,8.0,25.0,,76.0,3.0,4.0,,,,4.0,,,,,,
et_edt-ud-test,3214,0,124.0,308.0,12.0,514,,41.0,,3.0,,2.0,2.0,2.0,3.0,1.0,3.0,,10.0,,2.0,,1.0,,,,,,,,
sjo_xdt-ud-test,810,0,,,,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,
wbp_ufal-ud-test,55,0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,1.0,5.0,,6,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,16.0,156.0,,200,3.0,5.0,,1.0,,,,,,,,,2.0,,4.0,,,,13.0,,,,,,
sme_giella-ud-test,865,0,21.0,93.0,,132,10.0,4.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,
arr_tudet-ud-test,674,0,,2.0,19.0,38,,,,,,,,,,,,,,,,17.0,,,,,,,,,
ta_mwtt-ud-test,534,0,,10.0,,11,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,,7.0,,7,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,,2.0,,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,1.0,2.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,1.0,,,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,12.0,283.0,,383,22.0,20.0,,,,,1.0,,3.0,,,,12.0,,21.0,,,,1.0,5.0,1.0,1.0,1.0,,
eu_bdt-ud-test,1799,0,6.0,107.0,,148,8.0,8.0,,,,,,,,,,,10.0,,8.0,,,,,,,1.0,,,
eu_bdt-ud-dev,1798,0,4.0,89.0,,128,11.0,3.0,,,,,,,,,,,4.0,,16.0,,,,,,,,1.0,,
fi_ftb-ud-dev,1875,0,6.0,,,9,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,
fi_ftb-ud-train,14981,0,49.0,,6.0,78,4.0,6.0,,,,,,,,2.0,,,,,9.0,,,,2.0,,,,,,
fi_ftb-ud-test,1867,0,5.0,,,8,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
bxr_bdt-ud-test,908,0,55.0,11.0,6.0,106,,8.0,9.0,,,,1.0,,,1.0,1.0,,8.0,,2.0,,2.0,,,,,,1.0,1.0,
bej_nsc-ud-test,380,0,,,,21,,,,,,,,,,,,,,,,,,,,,,8.0,,,13.0
