Treebank,Number of Sentences,Failures,obl,nmod:obl,flat:name,Total,nmod:att,orphan,appos,conj,advmod:mode,acl,amod,root,advcl,parataxis,nmod,acl:relcl,xcomp,nmod:poss,det,ccomp,discourse,advmod,csubj:cop,nummod,csubj,flat,dep,nsubj,nsubj:cop,obj,compound:nn,cop,case,xcomp:ds,aux,_,compound,fixed,aux:pass,expl,compound:prt,mark
hu_szeged-ud-dev,441,0,16.0,4.0,1.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,26.0,1.0,,34,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,20.0,3.0,2.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,254.0,,1.0,449,,5.0,,20.0,,6.0,30.0,45.0,15.0,4.0,14.0,11.0,2.0,1.0,28.0,7.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,673.0,,,1257,,2.0,4.0,73.0,,26.0,107.0,142.0,39.0,10.0,46.0,19.0,,,93.0,13.0,,,,2.0,3.0,5.0,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,132.0,,,244,,1.0,,13.0,,3.0,13.0,25.0,4.0,3.0,8.0,1.0,,,27.0,1.0,,,,5.0,2.0,6.0,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,90.0,,,190,,,,7.0,,1.0,14.0,31.0,4.0,5.0,9.0,1.0,,,24.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,19.0,,,37,,3.0,,6.0,,,5.0,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,30.0,,,49,,,1.0,4.0,,,7.0,2.0,,,2.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,1581.0,,16.0,3317,,30.0,8.0,217.0,,64.0,317.0,310.0,183.0,9.0,198.0,55.0,8.0,,211.0,58.0,,2.0,4.0,25.0,3.0,,,,,,2.0,1.0,2.0,7.0,2.0,1.0,3.0,,,,,
fi_tdt-ud-test,1555,0,181.0,,3.0,384,,8.0,4.0,39.0,,6.0,41.0,35.0,17.0,,22.0,4.0,1.0,,10.0,7.0,,,,3.0,,,,,,,1.0,,,1.0,,,,1.0,,,,
fi_tdt-ud-dev,1364,0,175.0,,,374,,5.0,3.0,23.0,,19.0,28.0,36.0,14.0,2.0,28.0,4.0,1.0,,21.0,8.0,,,1.0,4.0,,,,,,,,,,1.0,,,,,1.0,,,
fi_pud-ud-test,1000,0,134.0,,4.0,315,,,1.0,22.0,,3.0,28.0,27.0,22.0,2.0,21.0,13.0,1.0,,23.0,11.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,
et_edt-ud-dev,3128,0,640.0,,,1123,,4.0,6.0,58.0,,22.0,110.0,58.0,24.0,10.0,71.0,9.0,1.0,,80.0,15.0,,,,11.0,1.0,2.0,,,1.0,,,,,,,,,,,,,
et_edt-ud-train,24615,0,4572.0,,,8140,,41.0,27.0,352.0,,147.0,798.0,517.0,149.0,56.0,546.0,75.0,1.0,,614.0,127.0,,,3.0,59.0,9.0,37.0,,1.0,,,,,3.0,,,,2.0,4.0,,,,
et_edt-ud-test,3214,0,640.0,,,1057,,4.0,4.0,34.0,,13.0,92.0,80.0,17.0,5.0,58.0,7.0,,,78.0,8.0,,,,8.0,1.0,6.0,,,,,,,,,,,,2.0,,,,
krl_kkpp-ud-test,228,0,64.0,,,102,,,2.0,10.0,,,12.0,3.0,,1.0,,,1.0,,2.0,,,,,,,,,,1.0,,,,4.0,,,,1.0,1.0,,,,
fi_ftb-ud-dev,1875,0,,,,333,,,,9.0,,3.0,20.0,7.0,11.0,,253.0,,,,27.0,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,
fi_ftb-ud-train,14981,0,,,,2528,,,,114.0,,15.0,201.0,22.0,90.0,,1843.0,,,,189.0,,,,,28.0,,11.0,1.0,,,1.0,,,,,,,,,,11.0,1.0,1.0
fi_ftb-ud-test,1867,0,,,,332,,,,14.0,,6.0,34.0,6.0,12.0,,230.0,,,,22.0,,,,,5.0,,2.0,,,,,,,,,,,,,,,1.0,
