Treebank,Number of Sentences,Failures,case,amod,obl,nmod,det,conj,nummod,orphan,parataxis,mark,fixed,appos,root,flat:name,discourse,Total,advcl,xcomp,list,cc,obj,compound,csubj,acl,obl:agent,ccomp,nmod:obl,obl:lvc,advmod:mode,ccomp:pred,cop,nmod:poss,compound:lvc,flat,iobj,obl:arg,det:poss,xcomp:pred,nmod:arg,xcomp:cleft,obl:cmpr,acl:relcl,parataxis:obj,parataxis:insert,ccomp:obj,amod:flat,nmod:pred,det:nummod,advmod:emph,nmod:flat,nsubj:pass,ccomp:cleft,advcl:cmpr,csubj:pass,nummod:gov,nsubj,advcl:relcl,parataxis:discourse,parataxis:rel,flat:title,advmod:det,flat:abs,flat:sibl,advcl:pred,_,flat:range,advmod,obl:instr,nmod:appos,obl:manner,obl:soc,advcl:ccomp,acl:attr,obl:path,acl:ptcp,obl:tmod,obl:source,obl:grad,advcl:manner,acl:dpct,advcl:cond,advcl:concess,obl:lmod,advcl:fin,advcl:tcl,advcl:caus,compound:name,vocative,obl:benef,obl:goal,obl:float,obl:depict,dislocated,dep,reparandum,advcl:cmp,case:loc,nmod:npmod,compound:redup,aux,nmod:gobj,nmod:gsubj,advmod:lmod,advmod:mmod,advmod:tmod,flat:foreign,aux:caus,obl:inst
sl_ssj-ud-test,1282,0,418.0,129.0,259.0,133.0,31.0,64.0,7.0,6.0,1.0,1.0,2.0,8.0,1.0,4.0,1.0,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,456.0,183.0,265.0,149.0,20.0,74.0,13.0,8.0,3.0,,1.0,10.0,3.0,7.0,,1196,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,3366.0,1142.0,2121.0,1047.0,256.0,488.0,54.0,41.0,16.0,5.0,6.0,54.0,9.0,61.0,,8675,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-train,3185,0,,18.0,301.0,17.0,26.0,44.0,2.0,6.0,2.0,,,4.0,2.0,,,432,7.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,,3.0,49.0,5.0,,7.0,,,,,,4.0,,,,74,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,,2.0,49.0,3.0,8.0,,,1.0,,,,,,,,66,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,,,161.0,,,10.0,,2.0,,,,1.0,,8.0,,198,,,,,,,,,,,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,,,132.0,1.0,,6.0,,,,,,1.0,1.0,7.0,,155,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,,,181.0,1.0,4.0,12.0,,1.0,,,,,,10.0,,218,,,,,,,,,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,,,1.0,,,,,,,,,,,,,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,,3.0,111.0,18.0,,9.0,,,,,,1.0,,,,187,13.0,,,,21.0,,,,,2.0,,,,,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,,3.0,13.0,2.0,6.0,5.0,,2.0,1.0,,,,2.0,,,47,11.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,,231.0,216.0,123.0,22.0,68.0,5.0,,,,24.0,9.0,47.0,,,1186,1.0,5.0,,,7.0,,,44.0,,6.0,,,,,,,,8.0,180.0,102.0,7.0,16.0,34.0,1.0,5.0,4.0,7.0,7.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,3.0,1618.0,1653.0,917.0,194.0,654.0,44.0,4.0,,,240.0,44.0,447.0,,,9514,32.0,52.0,,,60.0,,11.0,384.0,1.0,68.0,,,,,,,,30.0,1277.0,891.0,117.0,128.0,297.0,1.0,27.0,69.0,51.0,57.0,44.0,48.0,10.0,19.0,6.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,,203.0,222.0,130.0,23.0,89.0,6.0,,,,26.0,4.0,51.0,,,1200,3.0,10.0,,,10.0,,,42.0,,2.0,,,,,,,,8.0,143.0,112.0,19.0,14.0,35.0,,7.0,11.0,6.0,5.0,4.0,8.0,1.0,2.0,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,,,2.0,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,146.0,80.0,162.0,59.0,26.0,42.0,3.0,1.0,6.0,,,5.0,20.0,6.0,,614,2.0,3.0,,,4.0,,,1.0,,3.0,,,,,,,,,,,,33.0,,,,2.0,,,,,,,,,,,,,,,,6.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,1066.0,754.0,1283.0,460.0,207.0,326.0,26.0,18.0,29.0,1.0,2.0,32.0,140.0,14.0,,4756,18.0,26.0,,1.0,19.0,2.0,8.0,12.0,,13.0,,,,,,,,,,,,203.0,,,,28.0,,,,,,6.0,,,,,,,2.0,,,11.0,1.0,13.0,4.0,7.0,7.0,12.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
