Treebank,Number of Sentences,Failures,obl,amod,advcl,obl:agent,nmod,det,orphan,conj,acl,root,ccomp,nummod,iobj,appos,csubj,Total,flat:name,nmod:obl,obj,nmod:poss,case,compound:lvc,compound,flat,xcomp,nsubj,cop,compound:nn,obl:lmod,obl:source,obl:tmod,nmod:appos,obl:goal,obl:manner,advcl:caus,obl:grad,advmod,acl:relcl,dislocated,parataxis,advcl:tcl,advcl:concess,obl:path,advcl:ccomp,advcl:cond,obl:instr,acl:ptcp,obl:benef,advcl:fin,xcomp:result,obl:soc,nsubj:pass,advcl:abs,flat:redup,obl:arg,obl:cmp,advcl:cmp,orphan:missing,nmod:tmod,list,dep,clf,discourse,dep:infl,fixed,nmod:npmod,case:loc,compound:svc,advmod:lmod,obl:cau,reparandum,dislocated:nsubj,dislocated:obj,advcl:relcl,mark,advcl:pred,csubj:pass,ccomp:relcl,_,advmod:tmod,advmod:deg,advmod:cmp,compound:prt,vocative,nmod:part,nmod:comp,aux,conj:expl,ccomp:reported,csubj:reported,flat:foreign,csubj:relcl,compound:redup,dislocated:advcl,csubj:cleft,parataxis:discourse,expl,obl:mod,dep:comp
xcl_caval-ud-train,3185,0,561.0,8.0,24.0,37.0,182.0,113.0,17.0,62.0,13.0,8.0,24.0,5.0,1.0,5.0,1.0,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,86.0,1.0,1.0,7.0,15.0,9.0,1.0,5.0,1.0,2.0,1.0,1.0,,,1.0,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,117.0,5.0,5.0,9.0,33.0,18.0,2.0,12.0,2.0,,2.0,1.0,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,24.0,,,,,,,1.0,,,,,,,,29,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,22.0,,,,,1.0,,,,,,,,1.0,,26,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,42.0,,,,,,,1.0,,,,,,1.0,,55,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,217.0,3.0,22.0,,11.0,,1.0,11.0,,1.0,3.0,,,4.0,,338,,,17.0,28.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,34.0,3.0,1.0,,3.0,3.0,,5.0,,3.0,,,,,,65,2.0,,,,1.0,,,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,7.0,,,,,,,,,1.0,,,,,,10,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-test,2709,0,61.0,8.0,1.0,,,14.0,19.0,32.0,8.0,10.0,1.0,,,1.0,,283,,,1.0,,,,,11.0,,1.0,,,3.0,68.0,10.0,5.0,2.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
