Nombre d'accusatifs = 291
sl_ssj-ud-test, Nearest=Dat, Distance=0.00618, Self=0.00654, Diff=0.00036
sl_ssj-ud-dev, Nearest=Dat, Distance=0.00500, Self=0.00609, Diff=0.00109
sl_ssj-ud-train, Nearest=Dat, Distance=0.00572, Self=0.00740, Diff=0.00168
xcl_caval-ud-train, Nearest=Acc, Distance=0.00638, Self=0.00865, Diff=0.00226
xcl_caval-ud-dev, Nearest=Acc, Distance=0.00679, Self=0.00812, Diff=0.00133
xcl_caval-ud-test, Nearest=Acc, Distance=0.00483, Self=0.01169, Diff=0.00687
hu_szeged-ud-dev, Nearest=Abl, Distance=0.01379, Self=0.01565, Diff=0.00186
hu_szeged-ud-test, Nearest=Abl, Distance=0.01411, Self=0.01574, Diff=0.00163
hu_szeged-ud-train, Nearest=Abl, Distance=0.01504, Self=0.01705, Diff=0.00201
no_bokmaal-ud-dev, Nearest=Abl, Distance=0.01549, Self=0.01750, Diff=0.00201
no_bokmaal-ud-test, Nearest=Abl, Distance=0.01218, Self=0.01401, Diff=0.00183
no_bokmaal-ud-train, Nearest=Abl, Distance=0.01326, Self=0.01515, Diff=0.00188
el_gud-ud-train, Nearest=Abl, Distance=0.00749, Self=0.00901, Diff=0.00152
el_gud-ud-test, Nearest=Abl, Distance=0.00942, Self=0.01106, Diff=0.00164
tr_pud-ud-test, Nearest=Ins, Distance=0.00354, Self=0.00503, Diff=0.00149
fi_ood-ud-test, Nearest=Acc, Distance=0.01244, Self=0.01525, Diff=0.00280
de_hdt-ud-test, Nearest=Abl, Distance=0.01149, Self=0.01322, Diff=0.00173
de_hdt-ud-train, Nearest=Abl, Distance=0.01190, Self=0.01365, Diff=0.00176
de_hdt-ud-dev, Nearest=Abl, Distance=0.01313, Self=0.01504, Diff=0.00191
sga_dipsgg-ud-test, Nearest=Abl, Distance=0.01333, Self=0.01515, Diff=0.00183
sv_talbanken-ud-dev, Nearest=Abl, Distance=0.01296, Self=0.01445, Diff=0.00149
sv_talbanken-ud-test, Nearest=Abl, Distance=0.01556, Self=0.01757, Diff=0.00201
sv_talbanken-ud-train, Nearest=Abl, Distance=0.01458, Self=0.01659, Diff=0.00201
ar_nyuad-ud-train, Nearest=Acc, Distance=0.01557, Self=0.02445, Diff=0.00888
ar_nyuad-ud-dev, Nearest=Acc, Distance=0.01541, Self=0.02428, Diff=0.00887
ar_nyuad-ud-test, Nearest=Acc, Distance=0.01622, Self=0.02514, Diff=0.00892
pl_pdb-ud-test, Nearest=Abs, Distance=0.00989, Self=0.01705, Diff=0.00716
pl_pdb-ud-train, Nearest=Abs, Distance=0.00980, Self=0.01693, Diff=0.00713
pl_pdb-ud-dev, Nearest=Acc, Distance=0.00896, Self=0.01683, Diff=0.00787
uk_iu-ud-dev, Nearest=Gen, Distance=0.00438, Self=0.00438, Diff=0.00000
uk_iu-ud-train, Nearest=Acc, Distance=0.00592, Self=0.00945, Diff=0.00353
uk_iu-ud-test, Nearest=Gen, Distance=0.00377, Self=0.00377, Diff=0.00000
sa_vedic-ud-test, Nearest=Nom, Distance=0.01191, Self=0.01869, Diff=0.00677
sa_vedic-ud-train, Nearest=Nom, Distance=0.00874, Self=0.01391, Diff=0.00518
