Nombre d'accusatifs = 294
sl_ssj-ud-test, Nearest=Nom, Distance=0.00329, Self=0.00329, Diff=0.00000
sl_ssj-ud-dev, Nearest=Nom, Distance=0.00300, Self=0.00300, Diff=0.00000
sl_ssj-ud-train, Nearest=Nom, Distance=0.00257, Self=0.00257, Diff=0.00000
xcl_caval-ud-train, Nearest=Nom, Distance=0.00173, Self=0.00173, Diff=0.00000
xcl_caval-ud-dev, Nearest=Nom, Distance=0.00283, Self=0.00283, Diff=0.00000
xcl_caval-ud-test, Nearest=Nom, Distance=0.00503, Self=0.00503, Diff=0.00000
hu_szeged-ud-dev, Nearest=Acc, Distance=0.01530, Self=0.02334, Diff=0.00803
hu_szeged-ud-test, Nearest=Acc, Distance=0.01470, Self=0.02162, Diff=0.00692
hu_szeged-ud-train, Nearest=Acc, Distance=0.01324, Self=0.02028, Diff=0.00704
el_gud-ud-train, Nearest=Nom, Distance=0.00484, Self=0.00484, Diff=0.00000
el_gud-ud-test, Nearest=Nom, Distance=0.00550, Self=0.00550, Diff=0.00000
tr_pud-ud-test, Nearest=Loc, Distance=0.01397, Self=0.01572, Diff=0.00176
fi_ood-ud-test, Nearest=Acc, Distance=0.01041, Self=0.01238, Diff=0.00198
de_hdt-ud-test, Nearest=Acc, Distance=0.00724, Self=0.01321, Diff=0.00597
de_hdt-ud-train, Nearest=Acc, Distance=0.00850, Self=0.00961, Diff=0.00111
de_hdt-ud-dev, Nearest=Loc, Distance=0.01145, Self=0.01342, Diff=0.00197
sga_dipsgg-ud-test, Nearest=Acc, Distance=0.00640, Self=0.01495, Diff=0.00855
sv_talbanken-ud-dev, Nearest=Abs, Distance=0.01922, Self=0.02593, Diff=0.00671
sv_talbanken-ud-test, Nearest=Abs, Distance=0.01886, Self=0.02663, Diff=0.00777
sv_talbanken-ud-train, Nearest=Abs, Distance=0.01947, Self=0.02607, Diff=0.00660
ar_nyuad-ud-train, Nearest=Acc, Distance=0.00680, Self=0.01174, Diff=0.00494
ar_nyuad-ud-dev, Nearest=Acc, Distance=0.00698, Self=0.01220, Diff=0.00522
ar_nyuad-ud-test, Nearest=Acc, Distance=0.00663, Self=0.01121, Diff=0.00459
pl_pdb-ud-test, Nearest=Nom, Distance=0.00955, Self=0.00955, Diff=0.00000
pl_pdb-ud-train, Nearest=Nom, Distance=0.00917, Self=0.00917, Diff=0.00000
pl_pdb-ud-dev, Nearest=Nom, Distance=0.00953, Self=0.00953, Diff=0.00000
sah_yktdt-ud-test, Nearest=Acc, Distance=0.01231, Self=0.01448, Diff=0.00218
uk_iu-ud-dev, Nearest=Nom, Distance=0.00317, Self=0.00317, Diff=0.00000
uk_iu-ud-train, Nearest=Nom, Distance=0.00401, Self=0.00401, Diff=0.00000
uk_iu-ud-test, Nearest=Nom, Distance=0.00400, Self=0.00400, Diff=0.00000
sa_vedic-ud-test, Nearest=Nom, Distance=0.01238, Self=0.01238, Diff=0.00000
sa_vedic-ud-train, Nearest=Nom, Distance=0.01356, Self=0.01356, Diff=0.00000
sa_vedic-ud-dev, Nearest=Nom, Distance=0.01225, Self=0.01225, Diff=0.00000
bn_bru-ud-test, Nearest=Abs, Distance=0.01715, Self=0.01923, Diff=0.00208
hi_hdtb-ud-train, Nearest=Abs, Distance=0.01548, Self=0.01756, Diff=0.00208
hi_hdtb-ud-dev, Nearest=Abs, Distance=0.01511, Self=0.01732, Diff=0.00221
hi_hdtb-ud-test, Nearest=Abs, Distance=0.01526, Self=0.01736, Diff=0.00210
kmr_mg-ud-train, Nearest=Abs, Distance=0.01863, Self=0.02220, Diff=0.00358
kmr_mg-ud-test, Nearest=Abs, Distance=0.01700, Self=0.02204, Diff=0.00504
hr_set-ud-dev, Nearest=Nom, Distance=0.00600, Self=0.00600, Diff=0.00000
hr_set-ud-train, Nearest=Nom, Distance=0.00625, Self=0.00625, Diff=0.00000
hr_set-ud-test, Nearest=Nom, Distance=0.00651, Self=0.00651, Diff=0.00000
orv_rnc-ud-dev, Nearest=Nom, Distance=0.00510, Self=0.00510, Diff=0.00000
orv_rnc-ud-train, Nearest=Nom, Distance=0.00717, Self=0.00717, Diff=0.00000
orv_rnc-ud-test, Nearest=Nom, Distance=0.00803, Self=0.00803, Diff=0.00000
cpg_tuecl-ud-test, Nearest=Nom, Distance=0.00365, Self=0.00365, Diff=0.00000
la_circse-ud-test, Nearest=Nom, Distance=0.01104, Self=0.01104, Diff=0.00000
is_pud-ud-test, Nearest=Nom, Distance=0.00340, Self=0.00340, Diff=0.00000
grc_perseus-ud-dev, Nearest=Nom, Distance=0.00874, Self=0.00874, Diff=0.00000
