Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:lmod,advmod:tmod,amod,amod:flat,appos,aux,aux:neg,case,case:loc,cc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,dep:comp,dep:conj,dep:infl,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:ds,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,2353,,,,,,,,,1.0,,,,,,,,,,,,,,,,308.0,,13.0,,,945.0,,,,,,,,,,77.0,,,,,,,,,,84.0,,,,,,,,1.0,,,,2.0,,,,,,,258.0,,,,,,,,,,,,12.0,,,,642.0,,,,,,,,,,,,,,,,6.0,2.0,,,,,,,2.0,,,,,,
sl_ssj-ud-dev,1250,0,2641,,,,,,,,,,,,,,,,,,,,,,,,,338.0,,17.0,,,1057.0,,,,,,,,,,116.0,,,,,,,,,,85.0,,,,,,,,,1.0,,,3.0,,,,,,,305.0,,,,,,,,,,,,24.0,,,,679.0,,,,,,,,,,,,,,,,9.0,5.0,,,,,,,2.0,,,,,,
sl_ssj-ud-train,10903,0,19629,,,,,,,,,1.0,,,,,,,,,,,,9.0,,,,2529.0,,89.0,,,7928.0,,1.0,2.0,,,,,,,633.0,,,,,,1.0,,,,655.0,,,,1.0,,,,12.0,,,,23.0,,,,2.0,2.0,,2182.0,,,,,,,,,1.0,,,140.0,,,,5240.0,,,,,,,,,,,,,,,,112.0,34.0,,,,,,,30.0,,,2.0,,,
xcl_caval-ud-train,3185,0,1263,,26.0,,,,,,,82.0,,,,,,,,,,,,,,,,22.0,,14.0,,,,,,26.0,,,2.0,,2.0,,70.0,,10.0,,,,,,,,96.0,,,,,,,,19.0,,,,,,,,1.0,,,48.0,,,,,,,,,,,,5.0,,,,777.0,,,,,,,,,,,,,,,,20.0,,,,,,,,37.0,,,6.0,,,
xcl_caval-ud-dev,411,0,172,,7.0,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,2.0,,,,,,,11.0,,1.0,,,,,,,,19.0,,,,,,,,2.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,
xcl_caval-ud-test,550,0,182,,7.0,,,,,,,8.0,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,1.0,,,,,,,11.0,,1.0,,1.0,,,,,,13.0,,,,,,,,9.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,2.0,,,,,,,,4.0,,,1.0,,,
hu_szeged-ud-train,910,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,10,,,,,,,,,2.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,21,,,,,,,,,5.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,131,,,,,,,,,24.0,,,,,,,,,,,,79.0,,,,10.0,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
