Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,amod:flat,appos,appos:trans,aux,aux:caus,aux:pass,case,case:loc,cc,ccomp,ccomp:relcl,clf,compound,compound:lvc,compound:name,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,dislocated:nsubj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:float,obl:goal,obl:instr,obl:lmod,obl:manner,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,435,,,,,,,,,,,,,,,,,,,58.0,,4.0,,,,,56.0,,,,,,,,,,,,14.0,,,,,,10.0,,,,,,,,23.0,,,,,,,,,2.0,,,,139.0,,,,26.0,,,,,,,,,,,,,,,,,,59.0,42.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
sl_ssj-ud-dev,1250,0,428,,,,,,,1.0,,,,,,,,,,,,52.0,,4.0,,,,,46.0,,,,,,,,,,,,17.0,,,,,,15.0,,,,,,,,19.0,,,,,,,,,4.0,,,,120.0,,,,39.0,,,,,,,,,,,,,,,,,,77.0,32.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
sl_ssj-ud-train,10903,0,3733,,,,,,,,,,,,,,,,,,,398.0,,18.0,,,,,412.0,,,,,,,,,,,,149.0,,,,,,129.0,,,,,1.0,,,234.0,,,,,9.0,,,,37.0,,,,1233.0,,1.0,8.0,214.0,,,,,,,,,,,1.0,,,,10.0,,,510.0,338.0,,,,,,,,,,,,,,,,,18.0,,8.0,,,,5.0,,,,
xcl_caval-ud-train,3185,0,1390,,4.0,,,,,3.0,,,,,,,,,,,,7.0,,23.0,,,,,,,,6.0,,,,,,,1.0,,48.0,,,1.0,,,71.0,,,,,,,,,,,,,,,,,2.0,,,,1125.0,,,,19.0,,,,,,,,,,,,,,,4.0,,,,48.0,,,,,,,,,,,,,,,,,20.0,,1.0,,,,6.0,,1.0,,
xcl_caval-ud-dev,411,0,214,,,,,,,2.0,,,,,,,,,,,,3.0,,3.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,184.0,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,
xcl_caval-ud-test,550,0,246,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,18.0,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,202.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
hu_szeged-ud-dev,441,0,98,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,35.0,,,,,,,2.0,,,,,3.0,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,73,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,14.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,46.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
hu_szeged-ud-train,910,0,151,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,56.0,,,,,,,4.0,,,,,1.0,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,
xav_xdt-ud-test,171,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
