Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advmod,amod,appos,aux,case,cc,ccomp,ccomp:cleft,ccomp:pred,compound,compound:lvc,conj,cop,csubj,dep,det,det:poss,discourse,dislocated,fixed,flat,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:obl,nmod:poss,nmod:pred,nsubj,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:float,obl:grad,obl:inst,obl:instr,obl:manner,obl:path,obl:soc,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,20.0,,,,,,,,,,,,,1.0,,,,,,,
sl_ssj-ud-dev,1250,0,28,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,21.0,,,,,,,,,,,,,1.0,,,,,,,
sl_ssj-ud-train,10903,0,240,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,47.0,,,,,,,,,176.0,,,,,,,,,,,,,10.0,,,,,,1.0,
xcl_caval-ud-train,3185,0,53,,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,10.0,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,2.0,,
xcl_caval-ud-dev,411,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,18.0,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,27,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,18.0,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,6,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,70,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,6.0,,,,11.0,,,4.0,,2.0,,,,,,1.0,19.0,,22.0,,,,,,,,,,,,,,,,2.0,,1.0
pl_pdb-ud-train,17722,0,569,,1.0,4.0,1.0,,,,,,,,6.0,,,,,15.0,,2.0,,,,,,92.0,,,,60.0,,,22.0,,11.0,,,1.0,,,8.0,134.0,,183.0,,5.0,,,,,,,,,1.0,,,1.0,,18.0,3.0,1.0
pl_pdb-ud-dev,2215,0,81,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,7.0,,,,4.0,,,2.0,,2.0,,,,,,2.0,29.0,,27.0,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0
sah_yktdt-ud-test,299,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,13.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0
uk_iu-ud-train,5521,0,210,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,,14.0,,,,,,,,1.0,172.0,,,,,,,,,,,,,4.0,5.0,1.0,,,4.0,,3.0
uk_iu-ud-test,898,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,21.0,,,,,,,,,,,,,,,2.0,,,1.0,,
sa_vedic-ud-test,2709,0,127,,,,,,,,,,,,1.0,,,,,2.0,,,,36.0,,,,,5.0,,,1.0,,,,,,,,,1.0,,,30.0,3.0,,,,,,,27.0,1.0,4.0,13.0,,3.0,,,,,,,
sa_vedic-ud-train,21477,0,937,,5.0,,,7.0,,11.0,,,,,6.0,,,,,16.0,,1.0,,244.0,,,,,54.0,,,2.0,,,1.0,1.0,,,,,1.0,,,203.0,36.0,,1.0,,,2.0,,253.0,1.0,4.0,35.0,,39.0,4.0,,,,10.0,,
sa_vedic-ud-dev,2996,0,156,,,,,3.0,,2.0,,,,,2.0,,,,,3.0,,,,32.0,,,,,3.0,,,1.0,,,,,,,,,,,,33.0,4.0,,,,,1.0,,59.0,,4.0,4.0,,5.0,,,,,,,
hr_set-ud-dev,960,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,83,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,5.0,,,,,,,,5.0,66.0,,,,,,,,,,,,,,,,,,4.0,,
hr_set-ud-test,1136,0,12,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,,
