Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,advmod:deg,advmod:lmod,advmod:tmod,amod,appos,aux,case,ccomp,compound,conj,cop,csubj,csubj:cop,dep,fixed,nmod,obl,obl:lmod,obl:tmod,orphan,root,xcomp,xcomp:ds
egy_ujaen-ud-test,721,0,10,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,60,,,2.0,,9.0,2.0,1.0,4.0,,2.0,,,2.0,,,,,,1.0,3.0,33.0,1.0,,,,
myv_jr-ud-test,921,0,94,,1.0,,1.0,14.0,2.0,,,,11.0,,,2.0,,,,,2.0,,47.0,13.0,,,1.0,,
myv_jr-ud-train,1217,0,114,,1.0,5.0,,9.0,1.0,,1.0,,11.0,,1.0,2.0,,,,,,,53.0,29.0,,1.0,,,
sjo_xdt-ud-test,810,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
eu_bdt-ud-train,5396,0,9,,,1.0,,,,,,,,,,,,,,1.0,,,5.0,,,2.0,,,
eu_bdt-ud-test,1799,0,4,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
eu_bdt-ud-dev,1798,0,6,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
fi_ftb-ud-dev,1875,0,289,28.0,8.0,,,,,,,6.0,,58.0,,10.0,16.0,9.0,3.0,,,,,,,,87.0,44.0,20.0
fi_ftb-ud-train,14981,0,2770,297.0,60.0,,,,,,,33.0,,556.0,,177.0,109.0,56.0,60.0,1.0,1.0,,,,,,788.0,477.0,155.0
fi_ftb-ud-test,1867,0,336,33.0,11.0,,,,,,,1.0,,70.0,,25.0,12.0,9.0,6.0,,,,,,,,94.0,53.0,22.0
ab_abnc-ud-test,263,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
