Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,advmod:mode,amod,amod:att,appos,aux,case,ccomp,compound,conj,cop,csubj:cop,dep,det,fixed,flat,flat:name,nmod,nmod:att,nmod:obl,nsubj,nsubj:cop,nummod,obl,orphan,parataxis,root,xcomp,xcomp:ds,xcomp:obj,xcomp:pred
hu_szeged-ud-dev,441,0,94,,,,,42.0,,,,,,,,1.0,,,,,,,,2.0,,1.0,2.0,,,46.0,,,,,,,
hu_szeged-ud-test,449,0,90,,,,,50.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,35.0,,,2.0,,,,
hu_szeged-ud-train,910,0,181,,,,,119.0,,,,,,,,3.0,,,,,,,,2.0,1.0,,1.0,,,52.0,1.0,2.0,,,,,
fi_ood-ud-test,2122,0,133,4.0,,7.0,,,4.0,,,,,,,2.0,,,,7.0,,,,1.0,,,1.0,1.0,2.0,80.0,4.0,6.0,9.0,4.0,1.0,,
sms_giellagas-ud-test,230,0,26,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,19.0,,,
et_ewt-ud-train,5444,0,73,,,1.0,,,1.0,,1.0,,,,,6.0,,,,,,,,4.0,,,,,,51.0,,,1.0,8.0,,,
et_ewt-ud-test,913,0,27,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,12.0,,1.0,,11.0,,,
et_ewt-ud-dev,833,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
egy_ujaen-ud-test,721,0,11,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,16,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,6.0,,,5.0,,,,
olo_kkpp-ud-train,19,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
vep_vwt-ud-test,103,0,5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,
fi_tdt-ud-train,12217,0,1983,78.0,19.0,93.0,,,149.0,,6.0,,,15.0,,91.0,2.0,2.0,,71.0,,80.0,1.0,134.0,,,,,14.0,1029.0,9.0,1.0,121.0,60.0,8.0,,
fi_tdt-ud-test,1555,0,261,16.0,3.0,11.0,,,16.0,,3.0,,,1.0,,10.0,,1.0,,4.0,,25.0,1.0,26.0,,,,,1.0,125.0,2.0,,11.0,4.0,1.0,,
fi_tdt-ud-dev,1364,0,214,7.0,5.0,15.0,,,16.0,,1.0,,,,,8.0,,,,11.0,,15.0,,13.0,,,,,,102.0,1.0,,10.0,9.0,1.0,,
fi_pud-ud-test,1000,0,281,3.0,4.0,8.0,,,18.0,,,,,3.0,,14.0,,,,13.0,,3.0,,19.0,,,1.0,,1.0,162.0,3.0,,11.0,7.0,11.0,,
et_edt-ud-dev,3128,0,111,,1.0,,,,,,,,,,,5.0,,,,,,,,8.0,,,,,1.0,70.0,,,3.0,23.0,,,
et_edt-ud-train,24615,0,637,2.0,,5.0,,,2.0,,,,,1.0,,49.0,,,,,,,,49.0,,,,,,416.0,3.0,2.0,3.0,105.0,,,
et_edt-ud-test,3214,0,112,1.0,,1.0,,,,,,,,1.0,,4.0,,,,,,1.0,,4.0,,,,,,90.0,1.0,1.0,1.0,7.0,,,
sme_giella-ud-train,2257,0,210,1.0,4.0,9.0,4.0,,,,,1.0,,8.0,,7.0,,,,,,,,,,,,,2.0,14.0,,4.0,45.0,56.0,,54.0,1.0
sme_giella-ud-test,865,0,94,,2.0,6.0,,,,,,1.0,,4.0,,2.0,1.0,,,,,,,,,,,,,8.0,,6.0,15.0,32.0,,16.0,1.0
ka_glc-ud-test,151,0,27,,,1.0,,,13.0,,,,6.0,,,,,,,,,,,,,,,,,7.0,,,,,,,
krl_kkpp-ud-test,228,0,38,1.0,,2.0,,,4.0,,,,,,,3.0,,,,2.0,,,,1.0,,,,,,18.0,,,7.0,,,,
eu_bdt-ud-train,5396,0,46,1.0,,1.0,,,5.0,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,16.0,,,1.0,17.0,,,
eu_bdt-ud-test,1799,0,16,1.0,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,,,,,5.0,,,,4.0,,,
eu_bdt-ud-dev,1798,0,14,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,8.0,,,
fi_ftb-ud-dev,1875,0,193,4.0,,19.0,,,15.0,,,,,,,10.0,1.0,,1.0,13.0,,,,120.0,,,,,6.0,,,,4.0,,,,
fi_ftb-ud-train,14981,0,1130,15.0,,103.0,,,104.0,,,,,1.0,,42.0,1.0,,1.0,71.0,4.0,,,762.0,,,,,6.0,,,,20.0,,,,
fi_ftb-ud-test,1867,0,151,1.0,,14.0,,,13.0,,,,,,,6.0,,,,8.0,,,,108.0,,,,,,,,,1.0,,,,
ab_abnc-ud-test,263,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,
