Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,case,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:redup,conj,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:gobj,nmod:npmod,nmod:obl,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:inst,obl:instr,obl:lmod,obl:lvc,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred
sl_ssj-ud-test,1282,0,371,,,,,,,,,,,,,,,,,,6.0,,,,,,,,52.0,,,,1.0,,,,,,,,,,,104.0,,,,,,,,,,,,,,204.0,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,
sl_ssj-ud-dev,1250,0,397,,,,,,3.0,,,,,,,,,,,,8.0,,,,,,,,52.0,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,3.0,,,,
sl_ssj-ud-train,10903,0,2952,,,,,,2.0,,,,,,,,,,,,46.0,,,,,,,,358.0,,,,,,,,,,,,,,,851.0,,,,,,,,,,,,,1.0,1657.0,,,,,,,,,,,,,,,,19.0,12.0,,,,,,6.0,,,,
xcl_caval-ud-train,3185,0,294,,,,,,1.0,,,,,,,,,,,1.0,4.0,,,,,,,,37.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,6.0,2.0,,,,,,,,,,
xcl_caval-ud-dev,411,0,56,,1.0,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,37.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,46,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
hu_szeged-ud-dev,441,0,162,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,140.0,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,
hu_szeged-ud-test,449,0,122,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
hu_szeged-ud-train,910,0,169,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,151.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,137,,,,,,2.0,,,,,,,,,,,3.0,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,15.0,,,,,,,1.0,,,,,,16.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
pl_pdb-ud-test,2215,0,729,,,,,2.0,1.0,,,,,,,,,,,,2.0,,5.0,,4.0,,,,52.0,,,,,,16.0,,,,,,167.0,,,115.0,,24.0,,,,,,,,,,,6.0,186.0,,70.0,5.0,,,,,,,,,,,,,,,,7.0,7.0,,,42.0,,4.0,1.0,13.0
pl_pdb-ud-train,17722,0,5904,,4.0,,,58.0,24.0,,,,2.0,,,,,1.0,,,14.0,3.0,57.0,6.0,44.0,,,,498.0,9.0,1.0,,,,121.0,1.0,,,,,1169.0,,,833.0,,243.0,1.0,,,,,5.0,1.0,1.0,,,46.0,1452.0,1.0,621.0,20.0,,,,,,,,,,,,,3.0,,,55.0,48.0,,,404.0,,42.0,1.0,115.0
pl_pdb-ud-dev,2215,0,720,,,,,8.0,2.0,,,,,,,,,2.0,,,,,2.0,,4.0,,,,61.0,,,,,,15.0,1.0,,,,,134.0,,,120.0,,26.0,,,,,,,,,,,7.0,185.0,,73.0,5.0,,,,,,,,,,,,,,,,5.0,4.0,,,49.0,,5.0,,12.0
